Pmid,Journal,Year,Month,Pmcid
10341076,Current microbiology,1999,6,NA
10342272,Journal of the American Mosquito Control Association,1999,3,NA
10344652,The American journal of tropical medicine and hygiene,1999,1,NA
10344664,The American journal of tropical medicine and hygiene,1999,1,NA
10350578,Mutation research,1999,1,NA
10351466,Health policy and planning,1999,3,NA
10353520,The Pediatric infectious disease journal,1999,1,NA
10361628,Contraception,1999,2,NA
10371005,Tropical animal health and production,1999,4,NA
10377122,Infection and immunity,1999,7,PMC116527
10377527,Parasitology today (Personal ed.),1999,7,NA
10380112,Insect molecular biology,1999,1,NA
10383070,The international journal of tuberculosis and lung disease : the official journal of the International Union against Tuberculosis and Lung Disease,1999,6,NA
10384222,Accident; analysis and prevention,1999,7,NA
10384227,Accident; analysis and prevention,1999,7,NA
10394319,American journal of public health,1999,7,PMC1508825
10396762,The Onderstepoort journal of veterinary research,1999,3,NA
10396765,The Onderstepoort journal of veterinary research,1999,3,NA
10399651,Journal of community health,1999,6,NA
10402968,Tropical medicine & international health : TM & IH,1999,1,NA
10402975,Tropical medicine & international health : TM & IH,1999,1,NA
10403325,The American journal of tropical medicine and hygiene,1999,6,NA
10407651,Archives of andrology,NA,NA,NA
10413689,The British journal of ophthalmology,1999,8,PMC1723144
10419230,Acta paediatrica (Oslo Norway : 1992). Supplement,1999,1,NA
10442101,East African medical journal,1999,4,NA
10442113,East African medical journal,1999,3,NA
10442118,East African medical journal,1999,3,NA
10442129,East African medical journal,1999,2,NA
10442130,East African medical journal,1999,2,NA
10442139,East African medical journal,1999,1,NA
10442143,East African medical journal,1999,1,NA
10442145,East African medical journal,1999,1,NA
10442148,East African medical journal,1999,1,NA
10442152,East African medical journal,1999,1,NA
10447427,Journal of medical virology,1999,7,NA
10453248,Journal of biosocial science,1999,7,NA
10456413,Veterinary parasitology,1999,8,NA
10457870,Contraception,1999,4,NA
10472669,Revue scientifique et technique (International Office of Epizootics),1999,8,NA
10472676,Revue scientifique et technique (International Office of Epizootics),1999,8,NA
10472679,Revue scientifique et technique (International Office of Epizootics),1999,8,NA
10472680,Revue scientifique et technique (International Office of Epizootics),1999,8,NA
10475110,Journal of medical primatology,1999,6,NA
10477182,Molecular and biochemical parasitology,1999,7,NA
10486823,The Onderstepoort journal of veterinary research,1999,6,NA
10486828,The Onderstepoort journal of veterinary research,1999,6,NA
10490230,Veterinary immunology and immunopathology,1999,7,NA
10492760,Transactions of the Royal Society of Tropical Medicine and Hygiene,NA,NA,NA
10492766,Transactions of the Royal Society of Tropical Medicine and Hygiene,NA,NA,NA
10493058,East African medical journal,1998,9,NA
10493063,East African medical journal,1998,9,NA
10497116,Virology,1999,9,NA
10499858,The Veterinary record,1999,8,NA
10509421,Tropical animal health and production,1999,10,NA
10514048,Medical and veterinary entomology,1999,7,NA
10514061,Medical and veterinary entomology,1999,7,NA
10516785,Bulletin of the World Health Organization,1999,1,PMC2557714
10520347,East African medical journal,1999,8,NA
10520364,East African medical journal,1999,7,NA
10520373,East African medical journal,1999,7,NA
10530193,Indian journal of dental research : official publication of Indian Society for Dental Research,NA,NA,NA
10535649,Journal of medical microbiology,1999,11,NA
10540306,Tropical medicine & international health : TM & IH,1999,9,NA
10558843,Veterinary journal (London England : 1997),1999,11,NA
10558945,The Journal of infectious diseases,1999,12,NA
10560653,Lancet (London England),1999,11,NA
10562831,Annals of tropical medicine and parasitology,1999,4,NA
10563954,Journal of agricultural and food chemistry,1999,2,NA
10569776,Infection and immunity,1999,12,PMC97068
10569978,Biology of reproduction,1999,12,NA
10572862,Journal of zoo and wildlife medicine : official publication of the American Association of Zoo Veterinarians,1999,9,NA
10579537,The Veterinary record,1999,9,NA
10586907,The American journal of tropical medicine and hygiene,1999,11,NA
10588767,Tropical medicine & international health : TM & IH,1999,11,NA
10589921,Clinical infectious diseases : an official publication of the Infectious Diseases Society of America,1999,10,NA
10593396,Fertility and sterility,1999,12,NA
10597532,Journal of veterinary pharmacology and therapeutics,1999,10,NA
10597533,Journal of veterinary pharmacology and therapeutics,1999,10,NA
10599130,Tropical animal health and production,1999,12,NA
10599131,Tropical animal health and production,1999,12,NA
10601915,American journal of obstetrics and gynecology,1999,12,NA
10609577,The Veterinary record,1999,11,NA
10618279,Clinical and diagnostic laboratory immunology,2000,1,PMC95824
10628697,Veterinary parasitology,1999,11,NA
10629956,Comparative biochemistry and physiology. Part A Molecular & integrative physiology,1999,10,NA
10632992,Tropical medicine & international health : TM & IH,1999,12,NA
10640169,Contraception,1999,10,NA
10640781,Journal of immunology (Baltimore Md. : 1950),2000,2,NA
10643111,Disasters,1999,12,NA
10643113,Disasters,1999,12,NA
10643913,Acta tropica,2000,1,NA
10643915,Acta tropica,2000,1,NA
10643974,Cellular and molecular biology (Noisy-le-Grand France),1999,12,NA
10654860,Sexually transmitted diseases,2000,1,NA
10666228,Blood,2000,2,NA
10669452,BMJ (Clinical research ed.),2000,2,PMC1117550
10674687,The American journal of tropical medicine and hygiene,1999,12,NA
10685315,East African medical journal,1999,9,NA
10685317,East African medical journal,1999,9,NA
10685324,East African medical journal,1999,9,NA
10685326,East African medical journal,1999,9,NA
10696409,Transactions of the Royal Society of Tropical Medicine and Hygiene,NA,NA,NA
10696414,Transactions of the Royal Society of Tropical Medicine and Hygiene,NA,NA,NA
10697862,Parassitologia,1999,9,NA
10703753,Veterinary research communications,2000,2,NA
10703779,JAMA,2000,3,NA
10703801,Lancet (London England),2000,2,NA
10715684,Annals of tropical medicine and parasitology,1999,12,NA
10715698,Annals of tropical medicine and parasitology,1999,10,NA
10717943,Tropical animal health and production,2000,2,NA
10727745,Preventive veterinary medicine,2000,3,NA
10731569,International journal for parasitology,2000,4,NA
10734511,East African medical journal,1999,10,NA
10734545,East African medical journal,1999,12,NA
10736042,Molecular ecology,2000,4,NA
10748907,Transactions of the Royal Society of Tropical Medicine and Hygiene,NA,NA,NA
10750503,East African medical journal,1999,1,NA
10750509,East African medical journal,1999,1,NA
10750515,East African medical journal,1999,6,NA
10750526,East African medical journal,1999,6,NA
10757659,Bulletin of environmental contamination and toxicology,2000,3,NA
10760405,Preventive veterinary medicine,2000,4,NA
10760408,Veterinary parasitology,2000,4,NA
10765615,Journal of biosocial science,2000,4,NA
10772091,International journal of STD & AIDS,2000,4,NA
10773113,World journal of surgery,2000,6,NA
10774079,East African medical journal,2000,2,NA
10779608,Molecular and biochemical parasitology,2000,4,NA
10782738,Sexually transmitted diseases,2000,4,NA
10799896,Journal of immunology (Baltimore Md. : 1950),2000,1,NA
10811278,Parasitology,2000,4,NA
10813159,Epidemiology and infection,2000,4,PMC2810917
10821950,Journal of immunological methods,2000,1,NA
10822886,European journal of orthodontics,2000,4,NA
10822934,Journal of tropical pediatrics,2000,4,NA
10825036,Clinical infectious diseases : an official publication of the Infectious Diseases Society of America,1999,4,NA
10826703,DNA sequence : the journal of DNA sequencing and mapping,2000,1,NA
10834983,Journal of clinical microbiology,2000,6,PMC86771
10836096,Annals of anatomy = Anatomischer Anzeiger : official organ of the Anatomische Gesellschaft,2000,1,NA
10837185,The Journal of infectious diseases,2000,6,NA
10838215,Acta tropica,2000,1,NA
10839077,Journal of perianesthesia nursing : official journal of the American Society of PeriAnesthesia Nurses,1999,12,NA
10843321,The Onderstepoort journal of veterinary research,2000,3,NA
10844979,Indian journal of biochemistry & biophysics,1999,10,NA
10855817,Journal of the South African Veterinary Association,1999,3,NA
10855832,Journal of the South African Veterinary Association,1999,6,NA
10855837,Journal of the South African Veterinary Association,1999,12,NA
10855839,Journal of the South African Veterinary Association,1999,12,NA
10855841,Journal of the South African Veterinary Association,1999,12,NA
10855845,Journal of the South African Veterinary Association,1999,12,NA
10868670,Social science & medicine (1982),2000,8,NA
10870765,The Veterinary record,2000,1,NA
10872913,International journal of STD & AIDS,2000,6,NA
10874718,Parasitology,2000,6,NA
10877491,Journal of acquired immune deficiency syndromes (1999),2000,1,NA
10879825,Chemosphere,2000,10,NA
10882604,The Journal of infectious diseases,2000,7,NA
10886803,Tropical medicine & international health : TM & IH,2000,1,NA
10895238,African journal of medicine and medical sciences,NA,NA,NA
10897371,Transactions of the Royal Society of Tropical Medicine and Hygiene,NA,NA,NA
10902480,Tropical doctor,2000,7,NA
10905260,Lancet (London England),2000,1,NA
10912478,European journal of gastroenterology & hepatology,2000,6,NA
10920233,Mammalian genome : official journal of the International Mammalian Genome Society,2000,8,NA
10924760,Molecular and biochemical parasitology,2000,6,NA
10928565,Zeitschrift fur Naturforschung. C Journal of biosciences,NA,NA,NA
10936574,Acta tropica,2000,9,NA
10947362,Journal of health communication,NA,NA,NA
10949513,Journal of the South African Veterinary Association,2000,3,NA
10949518,Journal of the South African Veterinary Association,2000,3,NA
10955060,East African medical journal,1999,11,NA
10967254,FEMS immunology and medical microbiology,2000,9,NA
10974166,Acta tropica,2000,10,NA
10974991,Transactions of the Royal Society of Tropical Medicine and Hygiene,NA,NA,PMC3272391
10983560,Annals of tropical medicine and parasitology,2000,7,NA
10985611,Archives of gynecology and obstetrics,2000,7,NA
10996978,Journal of tropical pediatrics,2000,8,NA
10997205,Advances in parasitology,2000,1,NA
11016437,Medical and veterinary entomology,2000,9,NA
11019462,Bulletin of the World Health Organization,2000,1,PMC2560843
11023409,Parasitology,1995,11,NA
11023410,Parasitology,1995,11,NA
11024301,Gene,2000,9,NA
11030364,Journal of the South African Veterinary Association,2000,6,NA
11030366,Journal of the South African Veterinary Association,2000,6,NA
11037785,The American journal of tropical medicine and hygiene,2000,3,NA
11039065,Journal of dental research,1988,2,NA
11055762,The international journal of tuberculosis and lung disease : the official journal of the International Union against Tuberculosis and Lung Disease,2000,10,NA
11063511,Clinical and diagnostic laboratory immunology,2000,11,PMC95998
11065073,Advances in experimental medicine and biology,2000,1,NA
11071289,Molecular and biochemical parasitology,2000,10,NA
11071549,Parassitologia,1999,9,NA
11076726,Emerging infectious diseases,NA,NA,PMC2640912
11077169,Fitoterapia,2000,12,NA
11080596,Gene,2000,10,NA
11082557,Bulletin of entomological research,2000,10,NA
11084709,Statistical methods in medical research,2000,6,NA
11093041,Folia primatologica; international journal of primatology,NA,NA,NA
11110352,Ethnicity & disease,2000,1,NA
11114392,Acta tropica,2000,12,NA
11119497,Infection and immunity,2001,1,PMC97863
11119512,Infection and immunity,2001,1,PMC97878
11123822,Tropical medicine & international health : TM & IH,2000,11,NA
11130316,Scottish medical journal,2000,10,NA
11131115,The Onderstepoort journal of veterinary research,2000,9,NA
11137270,Veterinary parasitology,2001,1,NA
11137346,Journal of ethnopharmacology,2001,1,NA
11140607,Phytochemistry,2000,11,NA
11160158,The Journal of clinical investigation,2001,2,PMC199193
11167032,Journal of ethnopharmacology,2001,2,NA
11167529,Animal genetics,2000,12,NA
11168824,Journal of medical primatology,2000,10,NA
11169275,Tropical medicine & international health : TM & IH,2000,12,NA
11169441,European journal of immunology,2001,1,NA
11170849,Research in veterinary science,2001,2,NA
11193631,Annals of the New York Academy of Sciences,2000,1,NA
11193661,Annals of the New York Academy of Sciences,2000,1,NA
11195266,International clinical psychopharmacology,2000,11,NA
11195461,Experimental lung research,2000,12,NA
11206392,The Onderstepoort journal of veterinary research,2000,12,NA
11207176,Archives of disease in childhood,2001,3,PMC1718702
11220630,Immunogenetics,2001,1,NA
11222328,The British journal of ophthalmology,2001,3,PMC1723882
11223223,Fitoterapia,2001,2,NA
11223230,Fitoterapia,2001,2,NA
11223234,Fitoterapia,2001,2,NA
11231400,Gastrointestinal endoscopy,2001,3,NA
11234190,Tropical animal health and production,2001,2,NA
11237814,The Journal of infectious diseases,2001,3,NA
11238219,Clinical and diagnostic laboratory immunology,2001,3,PMC96060
11243659,Veterinary research communications,2001,2,NA
11253782,Comparative biochemistry and physiology. Part A Molecular & integrative physiology,1998,1,NA
11254074,Tropical animal health and production,2001,4,NA
11256405,Science (New York N.Y.),2001,3,NA
11259818,Preventive veterinary medicine,2001,3,NA
11260704,Nature,2001,3,NA
11284627,Journal of biosocial science,2001,4,NA
11284629,Journal of biosocial science,2001,4,NA
11292533,Veterinary immunology and immunopathology,2001,2,NA
11296836,Journal of medical entomology,2001,3,NA
11297107,Medical and veterinary entomology,2001,3,NA
11297389,Applied biochemistry and biotechnology,2001,2,NA
11303199,American journal of obstetrics and gynecology,2001,4,NA
11311185,Acta tropica,2001,3,NA
11316389,Journal of biosocial science,2001,1,NA
11318574,The Journal of parasitology,2001,4,NA
11320765,East African medical journal,2001,1,NA
11332838,Journal of economic entomology,2001,4,NA
11334255,The international journal of tuberculosis and lung disease : the official journal of the International Union against Tuberculosis and Lung Disease,2001,4,NA
11334949,International journal for parasitology,2001,1,NA
11336126,Journal of tropical pediatrics,2001,4,NA
11338426,Hereditas,2000,1,NA
11339885,Annals of tropical medicine and parasitology,2001,4,NA
11340573,International journal of cancer,2001,6,NA
11344294,Proceedings of the National Academy of Sciences of the United States of America,2001,1,PMC33234
11345060,Trends in parasitology,2001,3,NA
11348521,Tropical medicine & international health : TM & IH,2001,4,NA
11355433,Oral diseases,2001,3,NA
11358917,Health policy and planning,2001,6,NA
11360797,Tropical animal health and production,2001,1,NA
11368806,International journal of STD & AIDS,2001,1,NA
11369308,Acta tropica,2001,1,NA
11375420,The Journal of clinical investigation,2001,1,PMC209302
11379229,Water science and technology : a journal of the International Association on Water Pollution Research,2001,1,NA
11393518,Phytochemistry,2001,6,NA
11394859,Phytochemistry,2001,6,NA
11394984,International journal of STD & AIDS,2001,7,NA
11395267,Fitoterapia,2001,1,NA
11403812,Lancet (London England),2001,6,NA
11405922,Philosophical transactions of the Royal Society of London. Series B Biological sciences,2001,6,PMC1088468
11408239,Antimicrobial agents and chemotherapy,2001,7,PMC90616
11411940,Parasitology research,2001,6,NA
11415476,Bulletin of entomological research,2001,6,NA
11418886,Clinical infectious diseases : an official publication of the Infectious Diseases Society of America,2001,7,NA
11419682,Journal of tropical pediatrics,2001,6,NA
11421948,Animal genetics,2001,4,NA
11424241,Reproductive health matters,2000,11,NA
11425176,The American journal of tropical medicine and hygiene,NA,NA,NA
11425179,The American journal of tropical medicine and hygiene,NA,NA,NA
11425369,Lancet (London England),2001,1,PMC3372408
11426264,Cadernos de saude publica,2001,1,NA
11446400,Journal of biosocial science,2001,7,NA
11460019,Sexually transmitted diseases,2001,7,NA
11468424,Journal of acquired immune deficiency syndromes (1999),2001,8,NA
11468825,Reproductive health matters,2001,1,NA
11469510,Veterinary research communications,2001,7,NA
11471107,The Journal of infectious diseases,2001,8,NA
11476333,Journal of medical entomology,2001,7,NA
11486678,International journal of health care quality assurance incorporating Leadership in health services,2000,1,NA
11489168,Parasite immunology,2001,8,NA
11490638,Dental update,2001,6,NA
11491006,Transactions of the Royal Society of Tropical Medicine and Hygiene,NA,NA,NA
11495644,Acta tropica,2001,9,NA
11504037,Journal of chemical ecology,2001,7,NA
11509023,Toxicology and applied pharmacology,2001,8,NA
11513261,Journal of the South African Veterinary Association,2001,6,NA
11513270,Journal of the South African Veterinary Association,2001,6,NA
11518603,Health policy (Amsterdam Netherlands),2001,10,NA
11520747,The British journal of ophthalmology,2001,9,PMC1724133
11530340,Trends in parasitology,2001,9,NA
11535277,Preventive veterinary medicine,2001,10,NA
11535287,Preventive veterinary medicine,2001,10,NA
11548200,Microbios,2001,1,NA
11556617,Tropical animal health and production,2001,10,NA
11564573,Oral oncology,2001,10,NA
11566374,Preventive veterinary medicine,2001,11,NA
11566375,Preventive veterinary medicine,2001,11,NA
11566376,Preventive veterinary medicine,2001,11,NA
11570560,Parasitology research,2001,9,NA
11571954,World journal of surgery,2001,9,NA
11574308,American journal of public health,2001,10,PMC1446827
11574319,American journal of public health,2001,10,PMC1446838
11585094,The Onderstepoort journal of veterinary research,2001,6,NA
11587356,Journal of chromatography. B Biomedical sciences and applications,2001,9,NA
11590735,Journal of environmental sciences (China),2001,4,NA
11590758,Journal of environmental sciences (China),2001,7,NA
11593497,Croatian medical journal,2001,10,NA
11595284,Immunology letters,2001,11,NA
11599666,Health policy and planning,2001,9,NA
11599667,Health policy and planning,2001,9,NA
11641083,Sante (Montrouge France),NA,NA,NA
11682940,East African medical journal,2001,2,NA
11682945,East African medical journal,2001,2,NA
11682952,East African medical journal,2001,2,NA
11682953,East African medical journal,2001,2,NA
11686392,Journal of submicroscopic cytology and pathology,NA,NA,NA
11689759,Sexually transmitted diseases,2001,10,NA
11695380,The Journal of parasitology,2001,10,NA
11700577,Clinical infectious diseases : an official publication of the Infectious Diseases Society of America,2001,12,NA
11712936,JAMA,2001,11,PMC3358136
11716125,The American journal of tropical medicine and hygiene,2001,11,NA
11723945,Demography,2001,11,NA
11728034,Scandinavian journal of infectious diseases,2001,1,NA
11738920,Journal of cataract and refractive surgery,2001,12,NA
11739357,Health policy and planning,2001,12,NA
11754948,Phytochemistry,2002,1,NA
11756044,Trends in parasitology,2001,12,NA
11769354,The Onderstepoort journal of veterinary research,2001,9,NA
11770202,Tropical animal health and production,2001,12,NA
11779657,Veterinary parasitology,2002,2,NA
11784419,Annals of tropical medicine and parasitology,2001,10,NA
11787713,Advances in experimental medicine and biology,2001,1,NA
11811702,Journal of the South African Veterinary Association,2001,9,NA
11814209,Journal of biosocial science,2002,1,NA
11816423,Transactions of the Royal Society of Tropical Medicine and Hygiene,NA,NA,NA
11816440,Transactions of the Royal Society of Tropical Medicine and Hygiene,NA,NA,NA
11818095,International journal of gynaecology and obstetrics: the official organ of the International Federation of Gynaecology and Obstetrics,2002,1,NA
11818896,Sexually transmitted diseases,2002,2,NA
11824914,Social science & medicine (1982),2002,2,NA
11827110,Marine pollution bulletin,2001,12,NA
11830143,Phytochemistry,2002,2,NA
11833808,Environmental toxicology and chemistry,2002,2,NA
11835895,Acta tropica,2002,3,NA
11849195,British journal of clinical pharmacology,2002,1,PMC1874558
11850008,Trends in parasitology,2002,1,NA
11874562,Parasite immunology,2002,2,NA
11876809,Ultrasound in obstetrics & gynecology : the official journal of the International Society of Ultrasound in Obstetrics and Gynecology,2002,2,NA
11888244,Experimental parasitology,2001,12,NA
11896257,Science (New York N.Y.),2002,3,NA
11902775,Water research,2002,3,NA
11903868,Journal of veterinary pharmacology and therapeutics,2001,12,NA
11921559,East African medical journal,2001,8,NA
11921579,East African medical journal,2001,9,NA
11921595,East African medical journal,2001,10,NA
11921597,East African medical journal,2001,10,NA
11921600,East African medical journal,2001,10,NA
11922428,Parasitology,2002,3,NA
11931252,Journal of medical entomology,2002,1,NA
11931275,Journal of medical entomology,2002,1,NA
11933145,Phytotherapy research : PTR,2002,3,NA
11934458,Veterinary parasitology,2002,1,NA
11951043,Science (New York N.Y.),2002,4,NA
11952944,Tropical medicine & international health : TM & IH,2002,4,NA
11957245,East African medical journal,2001,7,NA
11957246,East African medical journal,2001,7,NA
11957249,East African medical journal,2001,7,NA
11957250,East African medical journal,2001,7,NA
11957256,East African medical journal,2001,7,NA
11957264,East African medical journal,2001,7,NA
11963983,Medical and veterinary entomology,2002,3,NA
11964879,Current opinion in infectious diseases,2001,10,NA
11969115,Tropical animal health and production,2002,3,NA
11971648,Experimental parasitology,2002,1,NA
11975369,Food and nutrition bulletin,2002,3,NA
11975502,Journal of natural products,2002,4,NA
11991032,Tropical doctor,2002,1,NA
11992292,The Journal of infectious diseases,2002,1,NA
12000650,Tropical medicine & international health : TM & IH,2002,1,NA
12000774,Health policy and planning,2002,6,NA
12000782,Health policy and planning,2002,6,NA
12001026,Laryngo- rhino- otologie,2002,1,NA
12002049,East African medical journal,2001,3,NA
12002050,East African medical journal,2001,3,NA
12002051,East African medical journal,2001,3,NA
12002058,East African medical journal,2001,3,NA
12002060,East African medical journal,2001,3,NA
12002068,East African medical journal,2001,4,NA
12002071,East African medical journal,2001,4,NA
12002080,East African medical journal,2001,1,NA
12002082,East African medical journal,2001,1,NA
12002101,East African medical journal,2001,6,NA
12002111,East African medical journal,2001,6,NA
12002112,East African medical journal,2001,6,NA
12002115,East African medical journal,2001,6,NA
12002554,Epidemiology and infection,2002,4,PMC2869829
12007709,Journal of ethnopharmacology,2002,1,NA
12009152,Applied optics,2002,1,NA
12011222,Journal of the National Cancer Institute,2002,1,NA
12015820,Journal of helminthology,2002,6,NA
12023781,The Journal of infectious diseases,2002,6,NA
12027771,Journal of natural products,2002,1,NA
12031428,Phytochemistry,2002,6,NA
12045873,Archives of environmental contamination and toxicology,2002,7,NA
12048365,Journal of acquired immune deficiency syndromes (1999),2002,1,NA
12049227,Journal of chemical ecology,2002,1,NA
12049234,Journal of chemical ecology,2002,1,NA
12049246,Journal of the Egyptian Society of Parasitology,2002,4,NA
12055693,Social biology,NA,NA,NA
12058651,Chemical immunology,2002,1,NA
12062554,International journal for parasitology,2002,6,NA
12062813,Gene,2002,1,NA
12064376,European journal of drug metabolism and pharmacokinetics,NA,NA,NA
12072233,Veterinary immunology and immunopathology,2002,9,NA
12080408,European journal of clinical nutrition,2002,7,NA
12088072,Journal of the South African Veterinary Association,2002,3,NA
12088540,Bulletin of entomological research,2002,6,NA
12101440,Eye (London England),2002,7,NA
12110478,FEMS immunology and medical microbiology,2002,7,NA
12113399,British journal of biomedical science,2002,1,NA
12114058,Lancet (London England),2002,7,NA
12134258,The Journal of infectious diseases,2002,7,NA
12137678,The Cochrane database of systematic reviews,2002,1,NA
12141852,Journal of natural products,2002,7,NA
12146827,Marine pollution bulletin,2002,6,NA
12150634,African journal of health sciences,1994,2,NA
12150635,African journal of health sciences,1994,2,NA
12150636,African journal of health sciences,1994,2,NA
12150637,African journal of health sciences,1994,2,NA
12150638,African journal of health sciences,1994,2,NA
12150642,African journal of health sciences,1994,2,NA
12150643,African journal of health sciences,1994,2,NA
12153337,African journal of health sciences,1994,11,NA
12153338,African journal of health sciences,1994,11,NA
12153339,African journal of health sciences,1994,11,NA
12153340,African journal of health sciences,1994,11,NA
12153341,African journal of health sciences,1994,11,NA
12153342,African journal of health sciences,1994,11,NA
12153343,African journal of health sciences,1994,11,NA
12153346,African journal of health sciences,1994,11,NA
12153347,African journal of health sciences,1994,11,NA
12153348,African journal of health sciences,1994,11,NA
12153350,African journal of health sciences,1994,8,NA
12153351,African journal of health sciences,1994,8,NA
12153355,African journal of health sciences,1994,8,NA
12153356,African journal of health sciences,1994,8,NA
12153360,African journal of health sciences,1994,1,NA
12153361,African journal of health sciences,1994,1,NA
12153363,African journal of health sciences,1994,1,NA
12153364,African journal of health sciences,1994,1,NA
12153365,African journal of health sciences,1994,1,NA
12153366,African journal of health sciences,1994,1,NA
12153367,African journal of health sciences,1994,1,NA
12160423,African journal of health sciences,1995,11,NA
12160424,African journal of health sciences,1995,11,NA
12160426,African journal of health sciences,1995,11,NA
12160429,African journal of health sciences,1995,11,NA
12160433,African journal of health sciences,1995,1,NA
12160438,African journal of health sciences,1995,1,NA
12160439,African journal of health sciences,1995,1,NA
12160440,African journal of health sciences,1995,1,NA
12160441,African journal of health sciences,1995,1,NA
12160442,African journal of health sciences,1995,1,NA
12160445,African journal of health sciences,1995,2,NA
12160446,African journal of health sciences,1995,2,NA
12160449,African journal of health sciences,1995,2,NA
12160450,African journal of health sciences,1995,2,NA
12160451,African journal of health sciences,1995,2,NA
12160453,African journal of health sciences,1995,2,NA
12160454,African journal of health sciences,1995,2,NA
12160455,African journal of health sciences,1995,2,NA
12160457,African journal of health sciences,1995,8,NA
12160460,African journal of health sciences,1995,8,NA
12160462,African journal of health sciences,1995,8,NA
12164269,Phytotherapy research : PTR,2002,1,NA
12166334,Tropical animal health and production,2002,7,NA
12166336,Tropical animal health and production,2002,7,NA
12174767,Transactions of the Royal Society of Tropical Medicine and Hygiene,NA,NA,NA
12199442,East African medical journal,2001,12,NA
12199446,East African medical journal,2001,12,NA
12199448,East African medical journal,2001,12,NA
12199450,East African medical journal,2001,12,NA
12199451,East African medical journal,2001,12,NA
12206973,The Lancet. Infectious diseases,2002,9,NA
12211590,Epidemiology and infection,2002,8,PMC2869868
12219964,East African medical journal,2001,11,NA
12219965,East African medical journal,2001,11,NA
12219966,East African medical journal,2001,11,NA
12234000,The Onderstepoort journal of veterinary research,2002,6,NA
12241564,Bulletin of entomological research,2002,10,NA
12241722,Lancet (London England),2002,8,NA
12241930,Lancet (London England),2002,8,NA
12242690,Journal of biochemical and molecular toxicology,2002,1,NA
12296972,Malaria journal,2002,8,PMC140138
12349856,Journal of medical entomology,2002,9,NA
12356170,The Onderstepoort journal of veterinary research,2002,9,NA
12356980,Journal of the Royal Society of Medicine,2002,10,PMC1279185
12358619,Tropical medicine & international health : TM & IH,2002,10,NA
12361069,International journal of oral and maxillofacial surgery,2002,8,NA
12362804,Food and nutrition bulletin,2002,9,NA
12363063,The American journal of tropical medicine and hygiene,2002,7,NA
12380863,East African medical journal,2002,1,NA
12380864,East African medical journal,2002,1,NA
12380867,East African medical journal,2002,1,NA
12380869,East African medical journal,2002,1,NA
12380878,East African medical journal,2002,2,NA
12381559,Annals of the New York Academy of Sciences,2002,10,NA
12385880,Fitoterapia,2002,10,NA
12387216,South African journal of surgery. Suid-Afrikaanse tydskrif vir chirurgie,2002,8,NA
12387907,Acta tropica,2002,10,NA
12387962,Lancet (London England),2002,10,NA
