PMID	DOI	PMCID
10377527	10.1016/s0169-4758(99)01465-9	NA
10380112	10.1046/j.1365-2583.1999.820287.x	NA
10383070	NA	NA
10384222	10.1016/s0001-4575(98)00086-4	NA
10384227	10.1016/s0001-4575(98)00063-3	NA
10394319	10.2105/ajph.89.7.1078	PMC1508825
10396762	NA	NA
10396765	NA	NA
10399651	10.1023/a:1018709314503	NA
10402968	10.1046/j.1365-3156.1999.00408.x	NA
10402975	10.1046/j.1365-3156.1999.00403.x	NA
10403325	10.4269/ajtmh.1999.60.943	NA
10407651	10.1080/014850199262869	NA
10413689	10.1136/bjo.83.8.897	PMC1723144
10419230	NA	NA
10442101	NA	NA
10442113	NA	NA
10442118	NA	NA
10442129	NA	NA
10442130	NA	NA
10442139	NA	NA
10442143	NA	NA
10442145	NA	NA
10442148	NA	NA
10442152	NA	NA
10447427	10.1002/(sici)1096-9071(199907)58:3&lt;296::aid-jmv17&gt;3.0.co;2-5	NA
10453248	10.1017/s0021932099003612	NA
10456413	10.1016/s0304-4017(99)00040-0	NA
10457870	10.1016/s0010-7824(99)00023-2	NA
10472669	NA	NA
10472676	10.20506/rst.18.2.1167	NA
10472679	10.20506/rst.18.2.1164	NA
10472680	10.20506/rst.18.2.1163	NA
10475110	10.1111/j.1600-0684.1999.tb00257.x	NA
10477182	10.1016/s0166-6851(99)00093-6	NA
10486823	NA	NA
10486828	NA	NA
10490230	10.1016/s0165-2427(99)00033-1	NA
10492760	10.1016/s0035-9203(99)90024-x	NA
10492766	10.1016/s0035-9203(99)90031-7	NA
10493058	NA	NA
10493063	NA	NA
10497116	10.1006/viro.1999.9873	NA
10499858	10.1136/vr.145.8.231	NA
10509421	10.1023/a:1005251722797	NA
10514048	10.1046/j.1365-2915.1999.00177.x	NA
10514061	10.1046/j.1365-2915.1999.00151.x	NA
10516785	NA	PMC2557714
10520347	NA	NA
10520364	NA	NA
10520373	NA	NA
10530193	NA	NA
10540306	10.1046/j.1365-3156.1999.00445.x	NA
10558843	10.1053/tvjl.1999.0380	NA
10558945	10.1086/315133	NA
10560653	10.1016/s0140-6736(99)90276-3	NA
10562831	10.1080/00034989958555	NA
10563954	10.1021/jf9804138	NA
10569776	NA	PMC97068
10569978	10.1095/biolreprod61.6.1373	NA
10572862	NA	NA
10579537	10.1136/vr.145.10.275	NA
10586907	10.4269/ajtmh.1999.61.751	NA
10588767	10.1046/j.1365-3156.1999.00484.x	NA
10589921	10.1086/520469	NA
10593396	10.1016/s0015-0282(99)00406-9	NA
10597532	10.1046/j.1365-2885.1999.00215.x	NA
10597533	10.1046/j.1365-2885.1999.00216.x	NA
10599130	10.1023/a:1005269007104	NA
10599131	10.1023/a:1005221108013	NA
10601915	10.1016/s0002-9378(99)70378-9	NA
10609577	10.1136/vr.145.19.558	NA
10618279	10.1128/cdli.7.1.64-67.2000	PMC95824
10628697	10.1016/s0304-4017(99)00154-5	NA
10629956	10.1016/s1095-6433(99)00096-3	NA
10632992	10.1046/j.1365-3156.1999.00489.x	NA
10640169	10.1016/s0010-7824(99)00089-x	NA
10640781	10.4049/jimmunol.164.3.1602	NA
10643111	10.1111/1467-7717.00124	NA
10643113	10.1111/1467-7717.00126	NA
10643913	10.1016/s0001-706x(99)00080-7	NA
10643915	10.1016/s0001-706x(99)00056-x	NA
10643974	NA	NA
10654860	10.1097/00007435-200001000-00001	NA
10666228	NA	NA
10669452	NA	PMC1117550
10674687	10.4269/ajtmh.1999.61.1010	NA
10685315	NA	NA
10685317	NA	NA
10685324	NA	NA
10685326	NA	NA
10696409	10.1016/s0035-9203(99)90359-0	NA
10696414	10.1016/s0035-9203(99)90368-1	NA
10697862	NA	NA
10703753	10.1023/a:1006325405239	NA
10703779	10.1001/jama.283.9.1167	NA
10703801	10.1016/S0140-6736(99)07148-2	NA
10715684	10.1080/00034989957691	NA
10715698	NA	NA
10717943	10.1023/a:1005293019581	NA
10727745	10.1016/s0167-5877(99)00114-2	NA
10731569	10.1016/s0020-7519(00)00016-3	NA
10734511	NA	NA
10734545	NA	NA
10736042	10.1046/j.1365-294x.2000.00858.x	NA
10748907	10.1016/s0035-9203(00)90450-4	NA
10750503	NA	NA
10750509	NA	NA
10750515	NA	NA
10750526	NA	NA
10757659	10.1007/s001280000008	NA
10760405	10.1016/s0167-5877(00)00102-1	NA
10760408	10.1016/s0304-4017(00)00195-3	NA
10765615	10.1017/s0021932000002650	NA
10772091	10.1258/0956462001915660	NA
10773113	10.1007/s002689910103	NA
10774079	10.4314/eamj.v77i2.46398	NA
10779608	10.1016/s0166-6851(99)00234-0	NA
10782738	10.1097/00007435-200004000-00001	NA
10799896	10.4049/jimmunol.164.10.5337	NA
10811278	10.1017/s0031182099005600	NA
10813159	10.1017/s0950268800003526	PMC2810917
10821950	10.1016/s0022-1759(00)00187-3	NA
10822886	10.1093/ejo/22.2.135	NA
10822934	10.1093/tropej/46.2.86	NA
10825036	10.1086/515198	NA
10826703	10.3109/10425170009015614	NA
10834983	NA	PMC86771
10836096	10.1016/S0940-9602(00)80026-6	NA
10837185	10.1086/315520	NA
10838215	10.1016/s0001-706x(00)00065-6	NA
10839077	10.1016/s1089-9472(99)80100-2	NA
10843321	NA	NA
10844979	NA	NA
10855817	10.4102/jsava.v70i1.745	NA
10855832	10.4102/jsava.v70i2.764	NA
10855837	10.4102/jsava.v70i4.784	NA
10855839	10.4102/jsava.v70i4.786	NA
10855841	10.4102/jsava.v70i4.788	NA
10855845	10.4102/jsava.v70i4.792	NA
10868670	10.1016/s0277-9536(99)00495-5	NA
10870765	10.1136/vr.146.21.612	NA
10872913	10.1258/0956462001916119	NA
10874718	10.1017/s0031182099005934	NA
10877491	10.1097/00126334-200005010-00004	NA
10879825	10.1016/s0045-6535(99)00460-9	NA
10882604	10.1086/315652	NA
10886803	10.1046/j.1365-3156.2000.00568.x	NA
10895238	NA	NA
10897371	10.1016/s0035-9203(00)90280-3	NA
10902480	10.1177/004947550003000320	NA
10905260	10.1016/s0140-6736(00)02251-0	NA
10912478	10.1097/00042737-200012060-00007	NA
10920233	10.1007/s003350010133	NA
10924760	10.1016/s0166-6851(00)00236-x	NA
10928565	10.1515/znc-2000-5-629	NA
10936574	10.1016/s0001-706x(00)00075-9	NA
10947362	10.1080/108107396128167	NA
10949513	10.4102/jsava.v71i1.672	NA
10949518	10.4102/jsava.v71i1.677	NA
10955060	NA	NA
10967254	10.1111/j.1574-695X.2000.tb01498.x	NA
10974166	10.1016/s0001-706x(00)00109-1	NA
10974991	10.1016/s0035-9203(00)90310-9	PMC3272391
10983560	10.1080/00034983.2000.11813566	NA
10985611	10.1007/pl00007480	NA
10996978	10.1093/tropej/46.4.195	NA
10997205	10.1016/s0065-308x(00)47007-7	NA
11016437	10.1046/j.1365-2915.2000.00242.x	NA
11019462	NA	PMC2560843
11023409	10.1017/s0031182000065951	NA
11023410	10.1017/s0031182000065963	NA
11024301	10.1016/s0378-1119(00)00284-5	NA
11030364	10.4102/jsava.v71i2.692	NA
11030366	10.4102/jsava.v71i2.694	NA
11037785	10.4269/ajtmh.2000.62.396	NA
11039065	10.1177/00220345880670021301	NA
11055762	NA	NA
11063511	10.1128/cdli.7.6.983-986.2000	PMC95998
11065073	10.1007/0-306-46830-1_18	NA
11071289	10.1016/s0166-6851(00)00291-7	NA
11071549	NA	NA
11076726	10.3201/eid0606.000616	PMC2640912
11077169	10.1016/s0367-326x(00)00222-7	NA
11080596	10.1016/s0378-1119(00)00386-3	NA
11082557	10.1017/s0007485300000535	NA
11084709	10.1177/096228020000900307	NA
11093041	10.1159/000021760	NA
11110352	NA	NA
11114392	10.1016/s0001-706x(00)00153-4	NA
11119497	10.1128/IAI.69.1.123-128.2001	PMC97863
11119512	10.1128/IAI.69.1.245-251.2001	PMC97878
11123822	10.1046/j.1365-3156.2000.00643.x	NA
11130316	10.1177/00369330000450S121	NA
11131115	NA	NA
11137270	10.1016/s0304-4017(00)00404-0	NA
11137346	10.1016/s0378-8741(00)00337-8	NA
11140607	10.1016/s0031-9422(00)00349-6	NA
11160158	10.1172/JCI10714	PMC199193
11167032	10.1016/s0378-8741(00)00367-6	NA
11167529	10.1046/j.1365-2052.2000.00683.x	NA
11168824	10.1034/j.1600-0684.2000.290505.x	NA
11169275	10.1046/j.1365-3156.2000.00658.x	NA
11169441	10.1002/1521-4141(200101)31:1&lt;82::aid-immu82&gt;3.0.co;2-x	NA
11170849	10.1053/rvsc.2000.0438	NA
11193631	10.1111/j.1749-6632.2000.tb05299.x	NA
11193661	10.1111/j.1749-6632.2000.tb05326.x	NA
11195266	NA	NA
11195461	10.1080/01902140150216729	NA
11206392	NA	NA
11207176	10.1136/adc.84.3.247	PMC1718702
11220630	10.1007/s002510000276	NA
11222328	10.1136/bjo.85.3.267	PMC1723882
11223223	10.1016/s0367-326x(00)00276-8	NA
11223230	10.1016/s0367-326x(00)00280-x	NA
11223234	10.1016/s0367-326x(00)00259-8	NA
11231400	10.1016/s0016-5107(01)70415-4	NA
11234190	10.1023/a:1010329409637	NA
11237814	10.1086/319247	NA
11238219	10.1128/CDLI.8.2.346-348.2001	PMC96060
11243659	10.1023/a:1006400617235	NA
11253782	10.1016/s1095-6433(97)00410-8	NA
11254074	10.1023/a:1005286631470	NA
11256405	10.1126/science.1059490	NA
11259818	10.1016/s0167-5877(00)00203-8	NA
11260704	10.1038/35068500	NA
11284627	10.1017/s0021932001001997	NA
11284629	10.1017/s0021932001002450	NA
11292533	10.1016/s0165-2427(01)00241-0	NA
11296836	10.1603/0022-2585-38.2.282	NA
11297107	10.1046/j.1365-2915.2001.00272.x	NA
11297389	10.1385/abab:90:2:137	NA
11303199	10.1067/mob.2001.111715	NA
11311185	10.1016/s0001-706x(01)00082-1	NA
11316389	10.1017/s0021932001001079	NA
11318574	10.1645/0022-3395(2001)087[0413:ACSODA]2.0.CO;2	NA
11320765	10.4314/eamj.v78i1.9111	NA
11332838	10.1603/0022-0493-94.2.449	NA
11334255	NA	NA
11334949	10.1016/s0020-7519(01)00148-5	NA
11336126	NA	NA
11338426	10.1111/j.1601-5223.2000.00133.x	NA
11339885	10.1080/0003498012004004	NA
11340573	10.1002/1097-0215(20010601)92:5&lt;687::aid-ijc1246&gt;3.0.co;2-z	NA
11344294	10.1073/pnas.101093598	PMC33234
11345060	10.1016/s1471-4922(00)01877-8	NA
11348521	10.1046/j.1365-3156.2001.00705.x	NA
11355433	NA	NA
11358917	10.1093/heapol/16.2.161	NA
11360797	10.1023/a:1010322703790	NA
11368806	10.1258/0956462011923156	NA
11369308	10.1016/s0001-706x(01)00068-7	NA
11375420	10.1172/JCI12433	PMC209302
11379229	NA	NA
11393518	10.1016/s0031-9422(01)00067-x	NA
11394859	10.1016/s0031-9422(01)00147-9	NA
11394984	10.1258/0956462011923363	NA
11395267	10.1016/s0367-326x(00)00324-5	NA
11403812	10.1016/S0140-6736(00)04897-2	NA
11405922	10.1098/rstb.2001.0857	PMC1088468
11408239	10.1128/AAC.45.7.2141-2143.2001	PMC90616
11411940	10.1007/s004360100383	NA
11415476	NA	NA
11418886	10.1086/321820	NA
11419682	10.1093/tropej/47.3.170	NA
11421948	10.1046/j.1365-2052.2001.0700a.x	NA
11424241	10.1016/s0968-8080(00)90195-2	NA
11425176	10.4269/ajtmh.2001.64.36	NA
11425179	10.4269/ajtmh.2001.64.68	NA
11425369	10.1016/S0140-6736(00)04820-0	PMC3372408
11426264	10.1590/s0102-311x2001000700012	NA
11446400	10.1017/s0021932001003753	NA
11460019	10.1097/00007435-200107000-00002	NA
11468424	10.1097/00126334-200108010-00006	NA
11468825	10.1016/s0968-8080(01)90014-x	NA
11469510	10.1023/a:1010646826963	NA
11471107	10.1086/322783	NA
11476333	10.1603/0022-2585-38.4.531	NA
11486678	10.1108/09526860010372812	NA
11489168	10.1046/j.1365-3024.2001.00401.x	NA
11490638	10.12968/denu.2001.28.5.258	NA
11491006	10.1016/s0035-9203(01)90250-0	NA
11495644	10.1016/s0001-706x(01)00149-8	NA
11504037	10.1023/a:1010321410936	NA
11509023	10.1006/taap.2001.9225	NA
11513261	10.4102/jsava.v72i2.618	NA
11513270	10.4102/jsava.v72i2.627	NA
11518603	10.1016/s0168-8510(01)00145-2	NA
11520747	10.1136/bjo.85.9.1028	PMC1724133
11530340	10.1016/s1471-4922(01)02029-3	NA
11535277	10.1016/s0167-5877(01)00243-4	NA
11535287	10.1016/s0167-5877(01)00228-8	NA
11548200	NA	NA
11556617	10.1023/a:1010539705913	NA
11564573	10.1016/s1368-8375(00)00129-9	NA
11566374	10.1016/s0167-5877(01)00234-3	NA
11566375	10.1016/s0167-5877(01)00235-5	NA
11566376	10.1016/s0167-5877(01)00236-7	NA
11570560	10.1007/s004360100433	NA
11571954	10.1007/bf03215866	NA
11574308	10.2105/ajph.91.10.1571	PMC1446827
11574319	10.2105/ajph.91.10.1610	PMC1446838
11585094	NA	NA
11587356	10.1016/s0378-4347(01)00284-5	NA
11590735	NA	NA
11590758	NA	NA
11593497	NA	NA
11595284	10.1016/s0165-2478(01)00260-7	NA
11599666	10.1093/heapol/16.suppl_1.24	NA
11599667	10.1093/heapol/16.suppl_1.33	NA
11641083	NA	NA
11682940	10.4314/eamj.v78i2.9098	NA
11682945	10.4314/eamj.v78i2.9088	NA
11682952	10.4314/eamj.v78i2.9094	NA
11682953	NA	NA
11686392	NA	NA
11689759	10.1097/00007435-200110000-00007	NA
11695380	10.1645/0022-3395(2001)087[1140:EOIFCT]2.0.CO;2	NA
11700577	10.1086/324081	NA
11712936	10.1001/jama.286.19.2413	PMC3358136
11716125	10.4269/ajtmh.2001.65.623	NA
11723945	10.1353/dem.2001.0042	NA
11728034	10.1080/003655401317074482	NA
11738920	10.1016/s0886-3350(01)00823-9	NA
11739357	10.1093/heapol/16.4.337	NA
11754948	10.1016/s0031-9422(01)00424-1	NA
11756044	10.1016/s1471-4922(01)02031-1	NA
11769354	NA	NA
11770202	10.1023/a:1012728528924	NA
11779657	10.1016/s0304-4017(01)00614-8	NA
11784419	10.1080/00034980120103234	NA
11787713	10.1007/978-1-4615-1371-1_54	NA
11811702	10.4102/jsava.v72i3.638	NA
11814209	NA	NA
11816423	10.1016/s0035-9203(01)90082-3	NA
11816440	10.1016/s0035-9203(01)90107-5	NA
11818095	10.1016/s0020-7292(01)00560-4	NA
11818896	10.1097/00007435-200202000-00007	NA
11824914	10.1016/s0277-9536(01)00036-3	NA
11827110	10.1016/s0025-326x(01)00241-7	NA
11830143	10.1016/s0031-9422(01)00459-9	NA
11833808	10.1897/1551-5028(2002)021&lt;0375:ddieot&gt;2.0.co;2	NA
11835895	10.1016/s0001-706x(01)00209-1	NA
11849195	10.1046/j.0306-5251.2001.01529.x	PMC1874558
11850008	10.1016/s1471-4922(01)02143-2	NA
11874562	10.1046/j.0141-9838.2001.00440.x	NA
11876809	10.1046/j.0960-7692.2001.00545.x	NA
11888244	10.1006/expr.2001.4670	NA
11896257	10.1126/science.1065256	NA
11902775	10.1016/s0043-1354(01)00325-6	NA
11903868	10.1046/j.1365-2885.2001.00360.x	NA
11921559	10.4314/eamj.v78i8.8988	NA
11921579	10.4314/eamj.v78i9.8977	NA
11921595	10.4314/eamj.v78i10.8961	NA
11921597	10.4314/eamj.v78i10.8963	NA
11921600	10.4314/eamj.v78i10.8966	NA
11922428	10.1017/s0031182001001196	NA
11931252	10.1603/0022-2585-39.1.162	NA
11931275	10.1603/0022-2585-39.1.78	NA
11933145	10.1002/ptr.761	NA
11934458	10.1016/s0304-4017(02)00020-1	NA
11951043	10.1126/science.1069878	NA
11952944	10.1046/j.1365-3156.2002.00874.x	NA
11957245	NA	NA
11957246	NA	NA
11957249	NA	NA
11957250	NA	NA
11957256	10.4314/eamj.v78i7.9005	NA
11957264	NA	NA
11963983	10.1046/j.0269-283x.2002.00350.x	NA
11964879	10.1097/00001432-200110000-00012	NA
11969115	10.1023/a:1014324421258	NA
11971648	10.1006/expr.2001.4667	NA
11975369	10.1177/156482650202300107	NA
11975502	10.1021/np010298m	NA
11991032	10.1177/004947550203200123	NA
11992292	10.1086/340214	NA
12000650	10.1046/j.1365-3156.2002.00879.x	NA
12000774	10.1093/heapol/17.2.144	NA
12000782	10.1093/heapol/17.2.207	NA
12001026	10.1055/s-2002-28339	NA
12002049	10.4314/eamj.v78i3.9075	NA
12002050	10.4314/eamj.v78i3.9076	NA
12002051	10.4314/eamj.v78i3.9077	NA
12002058	10.4314/eamj.v78i3.9084	NA
12002060	10.4314/eamj.v78i3.9086	NA
12002068	10.4314/eamj.v78i4.9060	NA
12002071	10.4314/eamj.v78i4.9063	NA
12002080	10.4314/eamj.v78i5.9043	NA
12002082	10.4314/eamj.v78i5.9045	NA
12002101	10.4314/eamj.v78i6.9017	NA
12002111	10.4314/eamj.v78i6.9026	NA
12002112	10.4314/eamj.v78i6.9027	NA
12002115	10.4314/eamj.v78i6.9030	NA
12002554	10.1017/s0950268801006513	PMC2869829
12007709	10.1016/s0378-8741(02)00030-2	NA
12009152	10.1364/ao.41.002428	NA
12011222	10.1093/jnci/94.10.718	NA
12015820	10.1079/JOH2001105	NA
12023781	10.1086/340420	NA
12027771	10.1021/np0104626	NA
12031428	10.1016/s0031-9422(02)00078-x	NA
12045873	10.1007/s00244-002-1132-4	NA
12048365	10.1097/00042560-200205010-00009	NA
12049227	10.1023/a:1015222120556	NA
12049234	10.1023/a:1015205716921	NA
12049246	NA	NA
12055693	10.1080/19485565.2000.9989017	NA
12058651	10.1159/000058842	NA
12062554	10.1016/s0020-7519(02)00027-9	NA
12062813	10.1016/s0378-1119(02)00559-0	NA
12064376	10.1007/BF03190421	NA
12072233	10.1016/s0165-2427(02)00070-3	NA
12080408	10.1038/sj.ejcn.1601376	NA
12088072	10.4102/jsava.v73i1.546	NA
12088540	10.1079/BER2002164	NA
12101440	10.1038/sj.eye.6700188	NA
12110478	10.1111/j.1574-695X.2002.tb00587.x	NA
12113399	NA	NA
12114058	10.1016/S0140-6736(02)09337-6	NA
12134258	10.1086/341205	NA
12137678	10.1002/14651858.CD003172	NA
12141852	10.1021/np0106182	NA
12146827	10.1016/s0025-326x(02)00051-6	NA
12150634	NA	NA
12150635	NA	NA
12150636	NA	NA
12150637	NA	NA
12150638	NA	NA
12150642	NA	NA
12150643	NA	NA
12153337	NA	NA
12153338	NA	NA
12153339	NA	NA
12153340	NA	NA
12153341	NA	NA
12153342	NA	NA
12153343	NA	NA
12153346	NA	NA
12153347	NA	NA
12153348	NA	NA
12153350	NA	NA
12153351	NA	NA
12153355	NA	NA
12153356	NA	NA
12153360	NA	NA
12153361	NA	NA
12153363	NA	NA
12153364	NA	NA
12153365	NA	NA
12153366	NA	NA
12153367	NA	NA
12160423	NA	NA
12160424	NA	NA
12160426	NA	NA
12160429	NA	NA
12160433	NA	NA
12160438	NA	NA
12160439	NA	NA
12160440	NA	NA
12160441	NA	NA
12160442	NA	NA
12160445	NA	NA
12160446	NA	NA
12160449	NA	NA
12160450	NA	NA
12160451	NA	NA
12160453	NA	NA
12160454	NA	NA
12160455	NA	NA
12160457	NA	NA
12160460	NA	NA
12160462	NA	NA
12164269	10.1002/ptr.845	NA
12166334	10.1023/a:1015686819670	NA
12166336	10.1023/a:1015690920578	NA
12174767	10.1016/s0035-9203(02)90084-2	NA
12199442	10.4314/eamj.v78i12.8930	NA
12199446	10.4314/eamj.v78i12.8934	NA
12199448	10.4314/eamj.v78i12.8936	NA
12199450	10.4314/eamj.v78i12.8938	NA
12199451	10.4314/eamj.v78i12.8939	NA
12206973	10.1016/s1473-3099(02)00373-0	NA
12211590	10.1017/s0950268802006957	PMC2869868
12219964	10.4314/eamj.v78i11.8948	NA
12219965	10.4314/eamj.v78i11.8949	NA
12219966	10.4314/eamj.v78i11.8950	NA
12234000	NA	NA
12241564	10.1079/BER2002186	NA
12241722	10.1016/S0140-6736(02)09639-3	NA
12241930	10.1016/S0140-6736(02)09781-7	NA
12242690	10.1002/jbt.10038	NA
12296972	10.1186/1475-2875-1-10	PMC140138
12349856	10.1603/0022-2585-39.5.736	NA
12356170	NA	NA
12356980	10.1258/jrsm.95.10.516	PMC1279185
12358619	10.1046/j.1365-3156.2002.00929.x	NA
12361069	10.1054/ijom.2001.0199	NA
12362804	NA	NA
12363063	10.4269/ajtmh.2002.67.44	NA
12380863	10.4314/eamj.v79i1.8917	NA
12380864	10.4314/eamj.v79i1.8918	NA
12380867	10.4314/eamj.v79i1.8921	NA
12380869	10.4314/eamj.v79i1.8923	NA
12380878	10.4314/eamj.v79i2.8902	NA
12381559	10.1111/j.1749-6632.2002.tb04346.x	NA
12385880	10.1016/s0367-326x(02)00176-4	NA
12387216	NA	NA
12387907	10.1016/s0001-706x(02)00137-7	NA
12387962	10.1016/s0140-6736(02)11198-6	NA
12389946	10.4269/ajtmh.2002.67.191	NA
12389953	10.4314/eamj.v79i3.8886	NA
12389955	10.4314/eamj.v79i3.8889	NA
12389961	10.4314/eamj.v79i3.8894	NA
12389962	10.4314/eamj.v79i3.8896	NA
12389963	10.4314/eamj.v79i3.8897	NA
12389964	10.4314/eamj.v79i3.8898	NA
12389965	10.4314/eamj.v79i3.8899	NA
12390864	10.1095/biolreprod.102.005587	NA
12392912	10.1016/s0020-7519(02)00164-9	NA
12395787	10.4314/eamj.v79i3.8888	NA
12413622	10.1016/s0010-7824(02)00405-5	NA
12414138	10.1016/s0378-1135(02)00249-3	NA
12427462	10.1016/s0014-4894(02)00108-x	NA
12429424	10.1016/s0001-706x(02)00184-5	NA
12437669	10.1046/j.1365-2141.2002.03904.x	NA
12442027	10.1097/00006454-200211000-00013	NA
12446101	10.1016/s0304-4017(02)00348-5	NA
12449513	10.1023/a:1020525521180	NA
12466171	10.1016/s0161-6420(02)01284-8	NA
12471403	NA	PMC2567655
12471930	NA	NA
12472154	10.1080/09593332308618328	NA
12473367	10.1016/s1471-4922(02)02364-4	NA
12474482	10.1016/s0035-9203(02)90429-3	NA
12475080	10.1023/a:1020908609273	NA
12475480	10.1016/s0304-3894(02)00166-8	NA
12478070	10.1097/00002030-200301030-00009	PMC3387271
12482529	10.1016/s1471-4922(02)02419-4	NA
12482652	10.1016/s0304-4017(02)00318-7	NA
12483593	10.2323/jgam.46.69	NA
12492612	10.1046/j.1365-2125.2002.01689.x	PMC1874507
12498655	10.3201/eid0812.020077	PMC2738527
12499079	10.1016/s0378-8741(02)00283-0	NA
12504161	10.1016/s0160-4120(02)00104-6	NA
12509054	10.1039/b207257m	NA
12513703	10.1186/1475-2875-1-17	PMC149388
12518508	10.1111/1467-7717.00209	NA
12521907	10.1080/01443610020022078	NA
12523518	10.1016/s0025-326x(02)00176-5	NA
12523683	NA	NA
12523704	10.20506/rst.21.3.1355	NA
12523705	10.20506/rst.21.3.1354	NA
12527441	10.1016/s0168-1702(02)00263-0	NA
12531289	10.1016/s0304-4017(02)00360-6	NA
12531307	10.1016/s0269-7491(02)00295-6	NA
12535249	10.1046/j.1365-3156.2003.00979.x	NA
12537387	10.1023/a:1021241220575	NA
12537388	10.1023/a:1021293204645	NA
12537389	10.1023/a:1021231204414	NA
12537599	10.1186/1475-2875-1-19	PMC149390
12542367	10.1021/np020320r	NA
12552440	10.1086/367712	NA
12553329	10.1080/00324720215933	NA
12556199	10.1517/14728222.7.1.7	NA
12559799	10.1016/s0264-410x(02)00621-7	NA
12560028	10.1016/s0031-9422(02)00619-2	NA
12564531	10.1638/1042-7260(2002)033[0337:SESOTB]2.0.CO;2	NA
12564677	10.1016/s0021-9673(02)01769-7	NA
12568380	10.1016/s0021-9673(02)01694-1	NA
12570879	10.1079/PHN2002349	NA
12572821	NA	NA
12572823	NA	NA
12572826	NA	NA
12580783	10.1046/j.1365-2052.2003.00937.x	NA
12582529	10.1007/s00122-002-0932-2	NA
12586667	10.1136/bmj.326.7385.361	PMC148891
12593677	10.1079/BER2002212	NA
12598779	10.1097/00002030-200303070-00014	NA
12598780	10.1097/00002030-200303070-00015	NA
12599084	10.1086/373994	NA
12601246	10.1159/000068548	NA
12601247	10.1159/000068531	NA
12616644	10.1002/jbt.10058	NA
12617695	10.2165/00023210-200317030-00002	NA
12623498	10.1080/0269905021000038447	NA
12625128	10.1016/s0035-9203(02)90319-6	NA
12625377	NA	NA
12625378	NA	NA
12625673	10.4314/eamj.v79i4.8876	NA
12625679	10.4314/eamj.v79i4.8881	NA
12625682	10.4314/eamj.v79i4.8884	NA
12625684	10.4314/eamj.v79i9.9115	NA
12625685	10.4314/eamj.v79i9.9116	NA
12625688	NA	NA
12625689	10.4314/eamj.v79i9.9120	NA
12625691	10.4314/eamj.v79i9.9122	NA
12630488	10.4314/eamj.v79i11.8800	NA
12630489	10.4314/eamj.v79i11.8801	NA
12630490	10.4314/eamj.v79i11.8802	NA
12630491	10.4314/eamj.v79i11.8803	NA
12630493	10.4314/eamj.v79i11.8805	NA
12630497	10.4314/eamj.v79i11.8809	NA
12635755	10.4314/eamj.v79i10.8812	NA
12635756	10.4314/eamj.v79i10.8813	NA
12635757	10.4314/eamj.v79i10.8814	NA
12635758	10.4314/eamj.v79i10.8815	NA
12635760	10.4314/eamj.v79i10.8817	NA
12635761	10.4314/eamj.v79i10.8818	NA
12635762	10.4314/eamj.v79i10.8819	NA
12636362	10.1023/a:1022031806486	NA
12638804	10.4314/eamj.v79i5.8858	NA
12638805	10.4314/eamj.v79i5.8859	NA
