,pmid,pmd,journal,year
35,30143829,,  Bull Environ Contam Toxicol,  2018 Aug 24
36,30142218,,  PLoS One,  2018 Aug 24
37,30141707,,  Int J Palliat Nurs,  2018 Aug 2
38,30140772,e00742,  Heliyon,  2018 Aug 20
39,30139396,,  Animal,  2018 Aug 24
40,30139353,PMC6108107,  BMC Public Health,  2018 Aug 23
41,30139342,PMC6108136,  BMC Pregnancy Childbirth,  2018 Aug 23
42,30138695,,  Parasitol Int,  2018 Aug 20
43,30137610,,  Radiat Prot Dosimetry,  2018 Aug 23
44,30135052,,  JMIR Mhealth Uhealth,  2018 Aug 22
45,30134294,,  AIDS,  2018 Aug 20
46,30134293,,  AIDS,  2018 Aug 20
47,30134290,,  AIDS,  2018 Aug 20
48,30133510,,  PLoS One,  2018 Aug 22
49,30132425,,  Dev Psychopathol,  2018 Aug 22
50,30131572,PMC6104032,  Sci Rep,  2018 Aug 21
51,30131571,PMC6104046,  Nat Commun,  2018 Aug 21
52,30131253,,  Glob Heart,  2018 Aug 18
53,30129152,,  Am J Phys Anthropol,  2018 Aug 20
54,30128832,,  J Cross Cult Gerontol,  2018 Aug 20
55,30128100,PMC6092133,  Electron Physician,  2018 Jul 25
56,30127016,,  Proc Natl Acad Sci U S A,  2018 Aug 20
57,30125353,,  Clin Pharmacol Ther,  2018 Aug 20
58,30125171,,  Plant Dis,  2018 Sep
59,30123987,,  Pest Manag Sci,  2018 Aug 19
60,30123980,,  Microbiologyopen,  2018 Aug 19
61,30123697,PMC6086102,  PeerJ,  2018 Aug 7
62,30123385,PMC6062910,  Open AIDS J,  2018 Jul 19
63,30122904,PMC6078080,  Patient Prefer Adherence,  2018 Aug 1
64,30122789,PMC5913732,  Geoderma,  2018 Aug 15
65,30121756,,  Trop Anim Health Prod,  2018 Aug 18
66,30120706,,  Trop Anim Health Prod,  2018 Aug 17
67,30120548,,  Oecologia,  2018 Aug 18
68,30120168,,  Glob Health Sci Pract,  2018 Aug 16
69,30119666,PMC6098617,  Malar J,  2018 Aug 17
70,30119636,PMC6098596,  Reprod Health,  2018 Aug 17
71,30118434,PMC6108842,  Environ Health Perspect,  2018 Aug 6
72,30117472,,  Educ Health (Abingdon),  2018 Jan-Apr
73,30117196,,  Med Anthropol Q,  2018 Aug 16
74,30117158,,  Int J Cancer,  2018 Aug 17
75,30116600,PMC6089301,  BMJ Glob Health,  2018 Aug 10
76,30116482,,  Oxid Med Cell Longev,  2018 Jul 9
77,30116141,PMC6083558,  Trop Med Health,  2018 Aug 8
78,30116015,,  Bone Marrow Transplant,  2018 Aug 16
79,30115087,PMC6097342,  Int J Behav Nutr Phys Act,  2018 Aug 16
80,30115064,PMC6097429,  BMC Public Health,  2018 Aug 16
81,30113403,,  J Acquir Immune Defic Syndr,  2018 Aug 10
82,30112432,PMC6091238,  Data Brief,  2018 Jul 27
83,30112010,,  J Environ Public Health,  2018 Jul 9
84,30111201,,  Issues Ment Health Nurs,  2018 Aug 15
85,30109590,,  Mycotoxin Res,  2018 Aug 14
86,30109456,,  AIDS Behav,  2018 Aug 14
87,30109430,,  Environ Monit Assess,  2018 Aug 14
88,30109391,,  Theor Appl Genet,  2018 Aug 14
89,30107851,PMC6092782,  Virol J,  2018 Aug 14
90,30106975,PMC6091919,  PLoS Negl Trop Dis,  2018 Aug 14
91,30106283,,  Environ Sci Technol,  2018 Aug 27
92,30105967,,  Am J Trop Med Hyg,  2018 Aug 13
93,30105965,,  Am J Trop Med Hyg,  2018 Aug 13
94,30105964,,  Am J Trop Med Hyg,  2018 Aug 13
95,30105251,,  Biomed Res Int,  2018 Jul 9
96,30105192,PMC6086810,  3 Biotech,  2018 Aug
97,30105094,PMC6074632,  BMJ Glob Health,  2018 Jul 25
98,30105093,PMC6074629,  BMJ Glob Health,  2018 Jul 31
99,30104046,,  Lancet,  2018 Aug 18
100,30103995,,  Lancet Glob Health,  2018 Sep
101,30103825,PMC6090627,  Parasit Vectors,  2018 Aug 13
102,30102848,,  Transbound Emerg Dis,  2018 Aug 13
103,30102697,,  PLoS Negl Trop Dis,  2018 Aug 13
104,30101204,PMC6076407,  Vet Parasitol Reg Stud Reports,  2018 Aug
105,30100973,PMC6080977,  Pan Afr Med J,  2018 Apr 23
106,30100971,PMC6080980,  Pan Afr Med J,  2018 Apr 20
107,30099603,,  Oecologia,  2018 Aug 11
108,30097680,,  Int J Public Health,  2018 Aug 10
109,30097679,,  Int J Public Health,  2018 Aug 10
110,30097027,PMC6086996,  BMC Public Health,  2018 Aug 10
111,30096210,PMC6086469,  PLoS One,  2018 Aug 10
112,30096199,PMC6086417,  PLoS One,  2018 Aug 10
113,30096177,PMC6086393,  PLoS One,  2018 Aug 10
114,30096148,PMC6086397,  PLoS One,  2018 Aug 10
115,30096147,PMC6086428,  PLoS One,  2018 Aug 10
116,30095545,,  Curr Sports Med Rep,  2018 Aug
117,30094361,e00681,  Heliyon,  2018 Jul 17
118,30094029,PMC6079933,  Respirol Case Rep,  2018 Aug 7
119,30092769,PMC6085719,  BMC Public Health,  2018 Aug 9
120,30092043,PMC6084967,  PLoS One,  2018 Aug 9
121,30090868,NIHMS954590,  J Community Public Health Nurs,  2018
122,30089497,PMC6083510,  BMC Health Serv Res,  2018 Aug 8
123,30089159,PMC6082557,  PLoS One,  2018 Aug 8
124,30089120,PMC6101407,  PLoS Negl Trop Dis,  2018 Aug 8
125,30088167,,  Chem Cent J,  2018 Aug 7
126,30087298,,  Int J Environ Res Public Health,  2018 Aug 7
127,30087291,PMC6119906,  Materials (Basel),  2018 Aug 7
128,30087242,PMC6116014,  Nutrients,  2018 Aug 7
129,30085844,,  J Glob Oncol,  2018 Jul
130,30084344,,  Am J Trop Med Hyg,  2018 Aug 6
131,30084041,,  J Chem Ecol,  2018 Aug 7
132,30083863,,  Trop Anim Health Prod,  2018 Aug 6
133,30083452,PMC6076987,  PeerJ,  2018 Aug 2
134,30083085,PMC6060182,  Food Nutr Res,  2018 Jul 20
135,30081880,PMC6091199,  BMC Health Serv Res,  2018 Aug 6
136,30080875,PMC6078306,  PLoS One,  2018 Aug 6
137,30080119,,  J Food Prot,  2018 Sep
138,30079765,,  Food Nutr Bull,  2018 Aug 5
139,30079751,,  Ann Am Thorac Soc,  2018 Aug 4
140,30079171,,  J Public Health Afr,  2018 May 21
141,30077450,,  J Dairy Sci,  2018 Aug 1
142,30076833,,  Contraception,  2018 Aug 1
143,30076693,,  Am J Trop Med Hyg,  2018 Aug
144,30074646,,  Int J Health Plann Manage,  2018 Aug 3
145,30074642,,  Int J Health Plann Manage,  2018 Aug 3
146,30073452,,  Trop Anim Health Prod,  2018 Aug 2
147,30072741,,  Genet Med,  2018 Aug 3
148,30072434,PMC6099893,  Proc Natl Acad Sci U S A,  2018 Aug 14
149,30072372,,  Glob Health Sci Pract,  2018 Aug 2
150,30071799,,  Int J STD AIDS,  2018 Aug 2
151,30071065,PMC6072068,  PLoS One,  2018 Aug 2
152,30071060,PMC6072064,  PLoS One,  2018 Aug 2
153,30069983,,  Stud Fam Plann,  2018 Aug 1
154,30069231,PMC6065150,  Child Adolesc Psychiatry Ment Health,  2018 Jul 30
155,30069093,PMC6050789,  J Neurosci Rural Pract,  2018 Jul-Sep
156,30069075,PMC6043911,  New For (Dordr),  2018
157,30068501,PMC6094086,  JMIR Mhealth Uhealth,  2018 Aug 1
158,30067811,PMC6070271,  PLoS One,  2018 Aug 1
159,30067272,,  Cardiovasc J Afr,  2018 May/Jun
160,30066610,,  J Int Med Res,  2018 Aug 1
161,30065835,PMC6060476,  Arch Public Health,  2018 Jul 26
162,30064968,PMC6092593,  J Med Internet Res,  2018 Jul 31
163,30064498,PMC6069807,  Parasit Vectors,  2018 Jul 31
164,30064104,,  Sci Total Environ,  2018 Jul 24
165,30063651,,  J Acquir Immune Defic Syndr,  2018 Jul 25
166,30063649,,  J Acquir Immune Defic Syndr,  2018 Jul 25
167,30062482,,  Soc Psychiatry Psychiatr Epidemiol,  2018 Jul 30
168,30061964,PMC6061825,  Pan Afr Med J,  2018 Apr 2
169,30061917,PMC6058385,  Ann Gen Psychiatry,  2018 Jul 25
170,30061104,,  BMJ,  2018 Jul 30
171,30059706,,  Brain Res Bull,  2018 Jul 27
172,30058955,,  Reprod Health Matters,  2018 Dec
173,30057796,PMC6058174,  BMJ Glob Health,  2018 Jul 23
174,30056650,,  Asian-Australas J Anim Sci,  2018 Jul 26
175,30055581,PMC6064164,  BMC Infect Dis,  2018 Jul 28
176,30055576,PMC6064123,  BMC Pregnancy Childbirth,  2018 Jul 28
177,30055002,,  J Child Psychol Psychiatry,  2018 Jul 28
178,30053261,,  Trans R Soc Trop Med Hyg,  2018 Aug 1
179,30053035,PMC6037084,  Health Policy Plan,  2018 Jul 1
180,30052939,PMC6097455,  Health Policy Plan,  2018 Sep 1
181,30052335,,  Afr J Reprod Health,  2018 Jun
182,30051802,,  J Med Microbiol,  2018 Jul 27
183,30051647,,  Pediatr Blood Cancer,  2018 Jul 26
184,30051192,,  AIDS Behav,  2018 Jul 26
185,30050960,PMC6036869,  J Res Pharm Pract,  2018 Apr-Jun
186,30050953,,  J Vet Med,  2018 Jun 28
187,30050752,PMC6058349,  Int J Parasitol Parasites Wildl,  2018 Feb 3
188,30050616,PMC6057580,  Pan Afr Med J,  2018 Mar 15
189,30049267,PMC6062880,  BMC Public Health,  2018 Jul 27
190,30048982,,  Horm Res Paediatr,  2018 Jul 26
191,30047987,,  Int J Gynaecol Obstet,  2018 Jul 26
192,30047573,,  J Int AIDS Soc,  2018 Jul
193,30047080,,  Matern Child Health J,  2018 Jul 25
194,30046310,,  Int J Microbiol,  2018 Jun 26
195,30045711,PMC6060450,  BMC Public Health,  2018 Jul 25
196,30045700,PMC6060498,  BMC Pediatr,  2018 Jul 25
197,30044888,PMC5998906,  BMC Proc,  2018 Apr 24
198,30044834,PMC6059459,  PLoS One,  2018 Jul 25
199,30044335,,  Sex Transm Dis,  2018 Jul 24
200,30041605,PMC6057010,  BMC Public Health,  2018 Jul 24
201,30041516,,  J Agric Food Chem,  2018 Aug 15
202,30041058,,  Child Abuse Negl,  2018 Jul 21
203,30039785,,  Am J Trop Med Hyg,  2018 Jul 23
204,30039512,,  J Clin Nurs,  2018 Jul 24
205,30038869,PMC6054865,  PeerJ,  2018 Jul 19
206,30038793,PMC6052626,  Pilot Feasibility Stud,  2018 Jul 18
207,30038771,PMC6053572,  Ecol Evol,  2018 Jun 17
208,30038503,PMC6052494,  Microbiol Insights,  2018 Jul 18
209,30038420,PMC6056465,  Sci Rep,  2018 Jul 23
210,30037876,PMC6059345,  BMJ Open,  2018 Jul 23
211,30037312,,  AIDS Care,  2018 Jul 23
212,30037280,,  Food Nutr Bull,  2018 Jan 1
213,30037217,,  J Agric Food Chem,  2018 Aug 22
214,30036382,PMC6072204,  PLoS Negl Trop Dis,  2018 Jul 23
215,30036072,,  AIDS Patient Care STDS,  2018 Jul 23
216,30033563,,  J Int AIDS Soc,  2018 Jul
217,30033535,,  J Int AIDS Soc,  2018 Jul
218,30033518,,  J Anim Ecol,  2018 Jul 23
219,30033078,PMC6069675,  Lancet Haematol,  2018 Aug
220,30032975,,  Lancet,  2018 Jul 28
221,30031730,,  Lancet Glob Health,  2018 Jul 18
222,30031013,PMC6095940,  Prev Med,  2018 Sep
223,30029620,PMC6057552,  BMC Pediatr,  2018 Jul 20
224,30029120,,  Sci Total Environ,  2018 Jul 16
225,30028852,PMC6054376,  PLoS One,  2018 Jul 20
226,30028209,,  Ecol Food Nutr,  2018 Jul-Aug
227,30027825,,  Reprod Health Matters,  2018 Dec
228,30027750,,  Int J Environ Health Res,  2018 Jul 20
229,30027668,,  J Int AIDS Soc,  2018 Jul
230,30027132,PMC6031224,  VideoGIE,  2017 Oct 12
231,30026746,,  Front Plant Sci,  2018 Jul 5
232,30026177,PMC6072973,  JMIR Mhealth Uhealth,  2018 Jul 19
233,30025968,,  Diagn Microbiol Infect Dis,  2018 Jun 22
234,30025807,,  Lancet,  2018 Jul 14
235,30024908,PMC6053148,  PLoS One,  2018 Jul 19
236,30024805,,  Am J Public Health,  2018 Sep
237,30024433,,  JBI Database System Rev Implement Rep,  2018 Jul 17
238,30021855,PMC6077718,  Proc Natl Acad Sci U S A,  2018 Jul 31
239,30021564,PMC6052645,  BMC Cancer,  2018 Jul 18
240,30020964,PMC6051581,  PLoS One,  2018 Jul 18
241,30020940,PMC6051576,  PLoS One,  2018 Jul 18
242,30020479,,  J Med Entomol,  2018 Jul 18
243,30019625,,  Thyroid,  2018 Aug 22
244,30018833,,  Case Rep Obstet Gynecol,  2018 May 31
245,30018088,,  Sex Transm Infect,  2018 Jul 17
246,30017946,,  Int J Infect Dis,  2018 Jul 11
247,30017827,,  Microb Pathog,  2018 Jul 12
248,30017069,,  J Pediatr Surg,  2018 Jun 27
249,30016955,PMC6050726,  BMC Evol Biol,  2018 Jul 17
250,30016943,PMC6050709,  BMC Med Inform Decis Mak,  2018 Jul 17
251,30016316,PMC6049880,  PLoS Med,  2018 Jul 17
252,30015793,,  J Acquir Immune Defic Syndr,  2018 Jul 10
253,30014818,,  Am J Trop Med Hyg,  2018 Jul 16
254,30013798,,  J Parasitol Res,  2018 Jun 14
255,30013682,,  Beilstein J Org Chem,  2018 Jun 26
256,30012273,PMC6057135,  Lancet Glob Health,  2018 Aug
257,30012270,,  Lancet Glob Health,  2018 Aug
258,30012172,PMC6048912,  Malar J,  2018 Jul 16
259,30012128,PMC6048766,  BMC Health Serv Res,  2018 Jul 16
260,30012110,PMC6048800,  BMC Infect Dis,  2018 Jul 16
261,30012092,PMC6048895,  BMC Infect Dis,  2018 Jul 16
262,30010860,PMC6097453,  Health Policy Plan,  2018 Sep 1
263,30009273,e00656,  Heliyon,  2018 Jun 20
264,30009182,,  J Diabetes Res,  2018 May 23
265,30006791,,  AIDS Behav,  2018 Jul 13
266,30006414,PMC6120623,  Genome Res,  2018 Jul 13
267,30006028,,  Acta Trop,  2018 Oct
268,30005662,PMC6044045,  BMC Med Educ,  2018 Jul 13
269,30005643,PMC6044026,  BMC Public Health,  2018 Jul 13
270,30005025,,  AIDS,  2018 Jul 12
271,30005020,,  AIDS,  2018 Jul 12
272,30004392,,  Pediatr Infect Dis J,  2018 Aug
273,30003850,,  Afr J AIDS Res,  2018 Jul
274,30002921,PMC6038841,  BMJ Glob Health,  2018 Jul 6
275,30002919,PMC6038838,  BMJ Glob Health,  2018 Jul 6
276,30002808,,  Malar Res Treat,  2018 May 29
277,30002721,PMC6038280,  Ann Gen Psychiatry,  2018 Jul 10
278,30002013,PMC6082480,  BMJ Open,  2018 Jul 12
279,30001340,PMC6057667,  PLoS Negl Trop Dis,  2018 Jul 12
280,30001244,PMC6086376,  AIDS,  2018 Jul
281,30001243,,  AIDS,  2018 Jul 31
282,30001195,PMC6044072,  BMC Pregnancy Childbirth,  2018 Jul 12
283,29998191,PMC6030754,  Glob Health Res Policy,  2018 Jul 4
284,29998027,,  Case Rep Obstet Gynecol,  2018 May 28
285,29997412,PMC6015607,  Symbiosis,  2018
286,29996854,PMC6042417,  Reprod Health,  2018 Jul 11
287,29996852,PMC6042229,  Hum Resour Health,  2018 Jul 11
288,29996838,PMC6042204,  Int J Equity Health,  2018 Jul 11
289,29996783,PMC6042413,  BMC Infect Dis,  2018 Jul 11
290,29996580,,  Int J Health Policy Manag,  2017 Nov 25
291,29995942,PMC6040779,  PLoS One,  2018 Jul 11
292,29995715,,  JBI Database System Rev Implement Rep,  2018 Jul
293,29995713,,  JBI Database System Rev Implement Rep,  2018 Jul
294,29994915,PMC6075888,  J Acquir Immune Defic Syndr,  2018 Aug 15
295,29994832,,  J Acquir Immune Defic Syndr,  2018 Aug 15
296,29992326,,  J Econ Entomol,  2018 Jul 10
297,29991925,PMC5987586,  Trop Med Health,  2018 Jun 4
298,29991924,PMC5987573,  Trop Med Health,  2018 Jun 4
299,29989160,,  Am J Phys Anthropol,  2018 Jul
300,29989082,PMC6035514,  BMJ Glob Health,  2018 Jun 22
301,29989036,PMC6035501,  BMJ Glob Health,  2018 Jun 27
302,29988829,PMC6031956,  Int J Parasitol Parasites Wildl,  2017 Aug 4
303,29988760,,  Zookeys,  2018 Jun 26
304,29988689,PMC6029585,  HIV AIDS (Auckl),  2018 Jun 29
305,29988499,,  Front Microbiol,  2018 Jun 25
306,29988002,,  Am J Trop Med Hyg,  2018 Jul 9
307,29986753,PMC6036667,  Infect Dis Poverty,  2018 Jul 6
308,29985263,,  J Acquir Immune Defic Syndr,  2018 Jul 4
309,29984422,,  Int J Health Plann Manage,  2018 Jul 8
310,29984002,,  J Pathog,  2018 Jun 10
311,29983944,PMC6021694,  Food Sci Nutr,  2018 Mar 13
312,29982707,,  J Infect Dis,  2018 Jul 6
313,29981149,,  Int J Cancer,  2018 Jul 7
314,29980230,PMC6035473,  Health Res Policy Syst,  2018 Jul 6
315,29979930,NIHMS983818,  J Health Commun,  2018
316,29979888,,  Ecol Food Nutr,  2018 Jul-Aug
317,29979708,PMC6034791,  PLoS One,  2018 Jul 6
318,29979704,PMC6034789,  PLoS One,  2018 Jul 6
319,29979094,,  Int Q Community Health Educ,  2018 Jan 1
320,29977971,PMC6007399,  Open Forum Infect Dis,  2018 May 29
321,29977906,,  Int J Food Sci,  2018 Jun 7
322,29976221,PMC6034346,  Malar J,  2018 Jul 5
323,29976216,PMC6034281,  Reprod Health,  2018 Jul 5
324,29976204,PMC6034219,  Malar J,  2018 Jul 6
325,29975780,PMC6033402,  PLoS One,  2018 Jul 5
326,29974672,,  Immun Inflamm Dis,  2018 Sep
327,29974329,,  Syst Parasitol,  2018 Sep
328,29974027,,  Cureus,  2018 May 2
329,29973544,PMC6069484,  Int J Environ Res Public Health,  2018 Jul 4
330,29972632,,  J Int AIDS Soc,  2018 Jul
331,29972099,,  Glob Health Action,  2018
332,29971955,,  Matern Child Nutr,  2018 Jul 4
333,29971475,,  Appl Microbiol Biotechnol,  2018 Sep
334,29971245,PMC6004535,  Lancet Child Adolesc Health,  2018 Jul
335,29971134,,  Comput Math Methods Med,  2018 Jun 4
336,29970950,PMC5946694,  Agric Ecosyst Environ,  2018 Jul 1
337,29970949,PMC5946711,  Agric Ecosyst Environ,  2018 Jul 1
338,29970946,PMC5946712,  Agric Ecosyst Environ,  2018 Jul 1
339,29970945,PMC5946706,  Agric Ecosyst Environ,  2018 Jul 1
340,29970944,PMC5946693,  Agric Ecosyst Environ,  2018 Jul 1
341,29970943,PMC5946702,  Agric Ecosyst Environ,  2018 Jul 1
342,29970874,PMC6070987,  Toxins (Basel),  2018 Jul 3
343,29970164,PMC6029126,  Parasit Vectors,  2018 Jul 3
344,29970063,PMC6029075,  BMC Womens Health,  2018 Jul 3
345,29968733,PMC6030190,  Sci Rep,  2018 Jul 3
346,29968634,,  Matern Child Nutr,  2018 Jul 3
347,29968334,,  Pediatr Surg Int,  2018 Aug
348,29968096,,  Front Immunol,  2018 Jun 18
349,29967622,,  Tob Control,  2018 Jul 2
350,29967193,,  Soc Sci Med,  2018 Aug
351,29966818,,  Glob Health Action,  2018
352,29966508,,  PLoS One,  2018 Jul 2
353,29965975,PMC6028100,  Sex Transm Dis,  2018 Jun 29
354,29965948,,  Mhealth,  2018 May 21
355,29963559,PMC5994467,  Semin Pediatr Neurol,  2018 Jul
356,29961504,,  Theor Appl Genet,  2018 Jun 30
357,29961102,,  Int J Infect Dis,  2018 Jun 28
358,29960098,,  J Med Syst,  2018 Jun 29
359,29959539,,  Sci Rep,  2018 Jun 29
360,29959405,PMC6026135,  Sci Rep,  2018 Jun 29
361,29959335,PMC6026200,  Glob Health Sci Pract,  2018 Jun 29
362,29959274,PMC6024632,  Vaccine,  2018 Jul 25
363,29958738,,  Annu Rev Phytopathol,  2018 Aug 25
364,29958072,,  J Fish Biol,  2018 Jun 28
365,29956317,,  Oecologia,  2018 Aug
366,29955983,,  Chem Senses,  2018 Aug 24
367,29955865,,  Int Health,  2018 Jun 28
368,29955820,,  Jamba,  2018 Apr 12
369,29955266,PMC6014147,  Biosystems,  2018 Sep
370,29953912,,  PLoS One,  2018 Jun 28
371,29953496,PMC6023163,  J Strength Cond Res,  2018 Jun 25
372,29952871,,  AIDS,  2018 Jul 1
373,29952795,,  AIDS,  2018 Jul 1
374,29952794,,  AIDS,  2018 Jul 1
375,29952793,,  AIDS,  2018 Jul 1
376,29952792,,  AIDS,  2018 Jul 1
377,29952791,,  AIDS,  2018 Jul 1
378,29952790,,  AIDS,  2018 Jul 1
379,29952788,,  AIDS,  2018 Jul 1
380,29952787,,  J Transcult Nurs,  2018 Jun 1
381,29952248,,  Obes Sci Pract,  2018 May 4
382,29951213,PMC6009998,  J Environ Public Health,  2018 May 22
383,29951103,,  PLoS One,  2018 Jun 27
384,29949593,PMC6021061,  N Engl J Med,  2018 Aug 23
385,29949473,,  AIDS Behav,  2018 Sep
386,29948337,,  Planta,  2018 Sep
387,29948125,,  Wellcome Open Res,  2017 Jun 20
388,29946569,,  Public Health Action,  2018 Jun 21
389,29946526,,  BMJ Glob Health,  2018 Jun 22
390,29946487,PMC6014185,  F1000Res,  2018 Mar 20
391,29946441,,  Plant Methods,  2018 Jun 15
392,29946344,PMC6003192,  BMC Res Notes,  2018 Jun 26
393,29945668,PMC6020370,  Reprod Health,  2018 Jun 22
394,29945647,PMC6019981,  PLoS One,  2018 Jun 26
395,29944678,PMC6019679,  J Health Psychol,  2018 Jun 1
396,29944006,,  Am J Trop Med Hyg,  2018 Aug
397,29943722,,  Afr J Prim Health Care Fam Med,  2018 Jun 21
398,29943615,,  Afr J Prim Health Care Fam Med,  2018 May 31
399,29943602,,  AIDS Behav,  2018 Jul
400,29943124,,  Infect Drug Resist,  2018 Jun 13
401,29942141,PMC6005328,  J Genet Genomics,  2018 Jun 18
402,29941353,,  BMC Med,  2018 Jun 26
403,29940950,PMC6019222,  BMC Health Serv Res,  2018 Jun 25
404,29940941,PMC6019716,  PLoS One,  2018 Jun 25
405,29940023,PMC6016929,  J Agric Food Chem,  2018 Jul 18
406,29938509,,  Afr Health Sci,  2017 Dec
407,29937873,PMC5870269,  Afr Health Sci,  2017 Dec
408,29937868,PMC5870265,  Front Microbiol,  2018 Jun 8
409,29937761,,  Int J Health Policy Manag,  2018 Feb 6
410,29935126,,  G3 (Bethesda),  2018 Jul 31
411,29934376,PMC6071604,  JMIR Res Protoc,  2018 Jun 22
412,29934289,PMC6035346,  PLoS One,  2018 Jun 22
413,29933391,PMC6014636,  BMC Proc,  2018 Jun 5
414,29932170,PMC5989408,  Trop Parasitol,  2018 Jan-Jun
415,29930902,PMC5991042,  Child Adolesc Psychiatry Ment Health,  2018 Jun 7
416,29930702,PMC5992697,  Sci Total Environ,  2018 May 15
417,29929252,,  Breathe (Sheff),  2018 Mar
418,29928464,PMC6003264,  Am J Public Health,  2018 Aug
419,29927650,,  Med Vet Entomol,  2018 Jun 21
420,29926974,,  AIDS Res Hum Retroviruses,  2018 Jul 24
421,29926735,,  Environ Sci Pollut Res Int,  2018 Jun 21
422,29926331,,  Malar J,  2018 Jun 20
423,29925430,PMC6011582,  BMC Womens Health,  2018 Jun 20
424,29925361,PMC6011601,  BMC Public Health,  2018 Jun 20
425,29925359,PMC6011354,  BJOG,  2018 Jun 20
426,29924912,,  PLoS One,  2018 Jun 20
427,29924827,PMC6010266,  Bull Environ Contam Toxicol,  2018 Jun 19
428,29923065,,  Insects,  2018 Jun 19
429,29921826,PMC6023484,  Diseases,  2018 Jun 19
430,29921773,PMC6023337,  BMC Public Health,  2018 Jun 19
431,29921257,PMC6009952,  Glob Health Action,  2018
432,29921172,,  World Neurosurg,  2018 Sep
433,29920393,,  Trop Anim Health Prod,  2018 Jun 18
434,29915876,,  Front Pediatr,  2018 Jun 4
435,29915778,,  Int J Equity Health,  2018 Jun 18
436,29915468,,  BMC Psychiatry,  2018 Jun 18
437,29915457,,  BMC Psychiatry,  2018 Jun 18
438,29914497,PMC6006705,  Int Q Community Health Educ,  2018 Jul
439,29914413,PMC6006708,  Otol Neurotol,  2018 Aug
440,29914409,PMC6007077,  Emerg Infect Dis,  2018 Jul
441,29914335,,  Child Neuropsychol,  2018 Jun 17
442,29912824,NIHMS965340,  Wellcome Open Res,  2018 Mar 8
443,29912685,,  Front Cell Infect Microbiol,  2018 Jun 1
444,29911475,,  Clin Dermatol,  2018 May - Jun
445,29911186,,  Epilepsy Behav,  2018 Aug
446,29911074,,  Sci Rep,  2018 Jun 15
447,29908577,,  Epilepsy Behav,  2018 Aug
448,29908383,PMC6086937,  PLoS Negl Trop Dis,  2018 Jun 15
449,29907746,PMC6003927,  J Oncol Pract,  2018 Jul
450,29906697,,  Dermatol Ther (Heidelb),  2018 Sep
451,29906291,PMC6021112,  Health Policy Plan,  2018 Sep 1
452,29906210,,  J Glob Health,  2018 Jun
453,29905913,PMC6109023,  Nat Commun,  2018 Jun 14
454,29905855,PMC6097457,  Implement Sci,  2018 Jun 15
455,29904605,PMC5983915,  BMC Womens Health,  2018 Jun 15
456,29904051,PMC6002414,  BMC Plant Biol,  2018 Jun 15
457,29903039,PMC6003001,  Sci Total Environ,  2018 Nov 15
458,29902989,PMC6003032,  Worldviews Evid Based Nurs,  2018 Aug
459,29902967,PMC6003085,  J Pediatr Gastroenterol Nutr,  2018 Jun 12
460,29902627,,  J Eval Clin Pract,  2018 Jun 14
461,29902358,,  Front Pediatr,  2018 May 30
462,29901556,,  Int J Prev Med,  2018 May 16
463,29901241,,  Int J Prev Med,  2018 May 16
464,29900165,,  Data Brief,  2018 Mar 11
465,29899882,PMC5981661,  J Agric Food Chem,  2018 Jul 5
466,29899881,PMC5981229,  Cerebrovasc Dis Extra,  2018 Jun 12
467,29896517,PMC5996239,  PLoS Med,  2018 Jun 12
