pmid,pmcid,isopen,journal,date,year,month
30139342,PMC6108136,open, BMC Pregnancy Childbirth,2018-08-23,2018.0,8.0
30138695,,closed, Parasitol Int,2018-08-20,2018.0,8.0
30137610,,closed, Radiat Prot Dosimetry,2018-08-23,2018.0,8.0
30135052,PMC6125609,open, JMIR Mhealth Uhealth,2018-08-22,2018.0,8.0
30134294,NIHMS1503101,open, AIDS,2018-08-20,2018.0,8.0
30134293,,closed, AIDS,2018-08-20,2018.0,8.0
30134290,,closed, AIDS,2018-08-20,2018.0,8.0
30133510,PMC6105004,open, PLoS One,2018-08-22,2018.0,8.0
30132425,,closed, Dev Psychopathol,2018-08-22,2018.0,8.0
30131572,PMC6104032,open, Sci Rep,2018-08-21,2018.0,8.0
30131571,PMC6104046,open, Nat Commun,2018-08-21,2018.0,8.0
30131253,,closed, Glob Heart,2018-08-18,2018.0,8.0
30129152,,closed, Am J Phys Anthropol,2018-08-20,2018.0,8.0
30128832,PMC6133031,open, J Cross Cult Gerontol,2018-08-20,2018.0,8.0
30128100,PMC6092133,open, Electron Physician,2018-07-25,2018.0,7.0
30127016,PMC6130363,open, Proc Natl Acad Sci U S A,2018-08-20,2018.0,8.0
30125353,,closed, Clin Pharmacol Ther,2018-08-20,2018.0,8.0
30125171,,closed, Plant Dis,2018-09-01,2018.0,9.0
30123987,,closed, Pest Manag Sci,2018-08-19,2018.0,8.0
30123980,,closed, Microbiologyopen,2018-08-19,2018.0,8.0
30123697,PMC6086102,open, PeerJ,2018-08-07,2018.0,8.0
30123385,PMC6062910,open, Open AIDS J,2018-07-19,2018.0,7.0
30122904,PMC6078080,open, Patient Prefer Adherence,2018-08-01,2018.0,8.0
30122789,PMC5913732,open, Geoderma,2018-08-15,2018.0,8.0
30121756,,closed, Trop Anim Health Prod,2018-08-18,2018.0,8.0
30120706,,closed, Trop Anim Health Prod,2018-08-17,2018.0,8.0
30120548,,closed, Oecologia,2018-08-18,2018.0,8.0
30120168,,closed, Glob Health Sci Pract,2018-08-16,2018.0,8.0
30119666,PMC6098617,open, Malar J,2018-08-17,2018.0,8.0
30119636,PMC6098596,open, Reprod Health,2018-08-17,2018.0,8.0
30118434,PMC6108842,open, Environ Health Perspect,2018-08-06,2018.0,8.0
30117472,,closed, Educ Health (Abingdon),,,
30117196,,closed, Med Anthropol Q,2018-08-16,2018.0,8.0
30117158,,closed, Int J Cancer,2018-08-17,2018.0,8.0
30116600,PMC6089301,open, BMJ Glob Health,2018-08-10,2018.0,8.0
30116482,,closed, Oxid Med Cell Longev,2018-07-09,2018.0,7.0
30116141,PMC6083558,open, Trop Med Health,2018-08-08,2018.0,8.0
30116015,,closed, Bone Marrow Transplant,2018-08-16,2018.0,8.0
30115087,PMC6097342,open, Int J Behav Nutr Phys Act,2018-08-16,2018.0,8.0
30115064,PMC6097429,open, BMC Public Health,2018-08-16,2018.0,8.0
30113403,,closed, J Acquir Immune Defic Syndr,2018-08-10,2018.0,8.0
30112432,PMC6091238,open, Data Brief,2018-07-27,2018.0,7.0
30112010,,closed, J Environ Public Health,2018-07-09,2018.0,7.0
30111201,,closed, Issues Ment Health Nurs,2018-08-15,2018.0,8.0
30109590,,closed, Mycotoxin Res,2018-08-14,2018.0,8.0
30109456,,closed, AIDS Behav,2018-08-14,2018.0,8.0
30109430,,closed, Environ Monit Assess,2018-08-14,2018.0,8.0
30109391,,closed, Theor Appl Genet,2018-08-14,2018.0,8.0
30107851,PMC6092782,open, Virol J,2018-08-14,2018.0,8.0
30106975,PMC6091919,open, PLoS Negl Trop Dis,2018-08-14,2018.0,8.0
30106283,,closed, Environ Sci Technol,2018-08-27,2018.0,8.0
30105967,,closed, Am J Trop Med Hyg,2018-08-13,2018.0,8.0
30105965,,closed, Am J Trop Med Hyg,2018-08-13,2018.0,8.0
30105964,,closed, Am J Trop Med Hyg,2018-08-13,2018.0,8.0
30105251,,closed, Biomed Res Int,2018-07-09,2018.0,7.0
30105192,PMC6086810,open, 3 Biotech,2018-08-01,2018.0,8.0
30105094,PMC6074632,open, BMJ Glob Health,2018-07-25,2018.0,7.0
30105093,PMC6074629,open, BMJ Glob Health,2018-07-31,2018.0,7.0
30104046,,closed, Lancet,2018-08-18,2018.0,8.0
30103995,,closed, Lancet Glob Health,2018-09-01,2018.0,9.0
30103825,PMC6090627,open, Parasit Vectors,2018-08-13,2018.0,8.0
30102848,,closed, Transbound Emerg Dis,2018-08-13,2018.0,8.0
30102697,,closed, PLoS Negl Trop Dis,2018-08-13,2018.0,8.0
30101204,PMC6076407,open, Vet Parasitol Reg Stud Reports,2018-08-01,2018.0,8.0
30100973,PMC6080977,open, Pan Afr Med J,2018-04-23,2018.0,4.0
30100971,PMC6080980,open, Pan Afr Med J,2018-04-20,2018.0,4.0
30099603,,closed, Oecologia,2018-08-11,2018.0,8.0
30097680,,closed, Int J Public Health,2018-08-10,2018.0,8.0
30097679,,closed, Int J Public Health,2018-08-10,2018.0,8.0
30097027,PMC6086996,open, BMC Public Health,2018-08-10,2018.0,8.0
30096210,PMC6086469,open, PLoS One,2018-08-10,2018.0,8.0
30096199,PMC6086417,open, PLoS One,2018-08-10,2018.0,8.0
30096177,PMC6086393,open, PLoS One,2018-08-10,2018.0,8.0
30096148,PMC6086397,open, PLoS One,2018-08-10,2018.0,8.0
30096147,PMC6086428,open, PLoS One,2018-08-10,2018.0,8.0
30095545,,closed, Curr Sports Med Rep,2018-08-01,2018.0,8.0
30094361,e00681,open, Heliyon,2018-07-17,2018.0,7.0
30094029,PMC6079933,open, Respirol Case Rep,2018-08-07,2018.0,8.0
30092769,PMC6085719,open, BMC Public Health,2018-08-09,2018.0,8.0
30092043,PMC6084967,open, PLoS One,2018-08-09,2018.0,8.0
30090868,NIHMS954590,open, J Community Public Health Nurs,2018-01-01,2018.0,1.0
30089497,PMC6083510,open, BMC Health Serv Res,2018-08-08,2018.0,8.0
30089159,PMC6082557,open, PLoS One,2018-08-08,2018.0,8.0
30089120,PMC6101407,open, PLoS Negl Trop Dis,2018-08-08,2018.0,8.0
30088167,,closed, Chem Cent J,2018-08-07,2018.0,8.0
30087298,,closed, Int J Environ Res Public Health,2018-08-07,2018.0,8.0
30087291,PMC6119906,open, Materials (Basel),2018-08-07,2018.0,8.0
30087242,PMC6116014,open, Nutrients,2018-08-07,2018.0,8.0
30085844,,closed, J Glob Oncol,2018-07-01,2018.0,7.0
30084344,,closed, Am J Trop Med Hyg,2018-08-06,2018.0,8.0
30084041,,closed, J Chem Ecol,2018-08-07,2018.0,8.0
30083863,,closed, Trop Anim Health Prod,2018-08-06,2018.0,8.0
30083452,PMC6076987,open, PeerJ,2018-08-02,2018.0,8.0
30083085,PMC6060182,open, Food Nutr Res,2018-07-20,2018.0,7.0
30081880,PMC6091199,open, BMC Health Serv Res,2018-08-06,2018.0,8.0
30080875,PMC6078306,open, PLoS One,2018-08-06,2018.0,8.0
30080119,,closed, J Food Prot,2018-09-01,2018.0,9.0
30079765,,closed, Food Nutr Bull,2018-08-05,2018.0,8.0
30079751,,closed, Ann Am Thorac Soc,2018-08-04,2018.0,8.0
30079171,,closed, J Public Health Afr,2018-05-21,2018.0,5.0
30077450,,closed, J Dairy Sci,2018-08-01,2018.0,8.0
30076833,,closed, Contraception,2018-08-01,2018.0,8.0
30076693,,closed, Am J Trop Med Hyg,2018-08-01,2018.0,8.0
30074646,,closed, Int J Health Plann Manage,2018-08-03,2018.0,8.0
30074642,,closed, Int J Health Plann Manage,2018-08-03,2018.0,8.0
30073452,,closed, Trop Anim Health Prod,2018-08-02,2018.0,8.0
30072741,,closed, Genet Med,2018-08-03,2018.0,8.0
30072434,PMC6099893,open, Proc Natl Acad Sci U S A,2018-08-14,2018.0,8.0
30072372,,closed, Glob Health Sci Pract,2018-08-02,2018.0,8.0
30071799,,closed, Int J STD AIDS,2018-08-02,2018.0,8.0
30071065,PMC6072068,open, PLoS One,2018-08-02,2018.0,8.0
30071060,PMC6072064,open, PLoS One,2018-08-02,2018.0,8.0
30069983,,closed, Stud Fam Plann,2018-08-01,2018.0,8.0
30069231,PMC6065150,open, Child Adolesc Psychiatry Ment Health,2018-07-30,2018.0,7.0
30069093,PMC6050789,open, J Neurosci Rural Pract,,,
30069075,PMC6043911,open, New For (Dordr),2018-01-01,2018.0,1.0
30068501,PMC6094086,open, JMIR Mhealth Uhealth,2018-08-01,2018.0,8.0
30067811,PMC6070271,open, PLoS One,2018-08-01,2018.0,8.0
30067272,,closed, Cardiovasc J Afr,,,
30066610,,closed, J Int Med Res,2018-08-01,2018.0,8.0
30065835,PMC6060476,open, Arch Public Health,2018-07-26,2018.0,7.0
30064968,PMC6092593,open, J Med Internet Res,2018-07-31,2018.0,7.0
30064498,PMC6069807,open, Parasit Vectors,2018-07-31,2018.0,7.0
30064104,,closed, Sci Total Environ,2018-07-24,2018.0,7.0
30063651,,closed, J Acquir Immune Defic Syndr,2018-07-25,2018.0,7.0
30063649,,closed, J Acquir Immune Defic Syndr,2018-07-25,2018.0,7.0
30062482,,closed, Soc Psychiatry Psychiatr Epidemiol,2018-07-30,2018.0,7.0
30061964,PMC6061825,open, Pan Afr Med J,2018-04-02,2018.0,4.0
30061917,PMC6058385,open, Ann Gen Psychiatry,2018-07-25,2018.0,7.0
30061104,,closed, BMJ,2018-07-30,2018.0,7.0
30059706,,closed, Brain Res Bull,2018-07-27,2018.0,7.0
30058955,,closed, Reprod Health Matters,2018-12-01,2018.0,12.0
30057796,PMC6058174,open, BMJ Glob Health,2018-07-23,2018.0,7.0
30056650,,closed, Asian-Australas J Anim Sci,2018-07-26,2018.0,7.0
30055581,PMC6064164,open, BMC Infect Dis,2018-07-28,2018.0,7.0
30055576,PMC6064123,open, BMC Pregnancy Childbirth,2018-07-28,2018.0,7.0
30055002,,closed, J Child Psychol Psychiatry,2018-07-28,2018.0,7.0
30053261,,closed, Trans R Soc Trop Med Hyg,2018-08-01,2018.0,8.0
30053035,PMC6037084,open, Health Policy Plan,2018-07-01,2018.0,7.0
30052939,PMC6097455,open, Health Policy Plan,2018-09-01,2018.0,9.0
30052335,,closed, Afr J Reprod Health,2018-06-01,2018.0,6.0
30051802,,closed, J Med Microbiol,2018-07-27,2018.0,7.0
30051647,,closed, Pediatr Blood Cancer,2018-07-26,2018.0,7.0
30051192,,closed, AIDS Behav,2018-07-26,2018.0,7.0
30050960,PMC6036869,open, J Res Pharm Pract,,,
30050953,,closed, J Vet Med,2018-06-28,2018.0,6.0
30050752,PMC6058349,open, Int J Parasitol Parasites Wildl,2018-02-03,2018.0,2.0
30050616,PMC6057580,open, Pan Afr Med J,2018-03-15,2018.0,3.0
30049267,PMC6062880,open, BMC Public Health,2018-07-27,2018.0,7.0
30048982,,closed, Horm Res Paediatr,2018-07-26,2018.0,7.0
30047987,,closed, Int J Gynaecol Obstet,2018-07-26,2018.0,7.0
30047573,,closed, J Int AIDS Soc,2018-07-01,2018.0,7.0
30047080,,closed, Matern Child Health J,2018-07-25,2018.0,7.0
30046310,,closed, Int J Microbiol,2018-06-26,2018.0,6.0
30045711,PMC6060450,open, BMC Public Health,2018-07-25,2018.0,7.0
30045700,PMC6060498,open, BMC Pediatr,2018-07-25,2018.0,7.0
30044888,PMC5998906,open, BMC Proc,2018-04-24,2018.0,4.0
30044834,PMC6059459,open, PLoS One,2018-07-25,2018.0,7.0
30044335,,closed, Sex Transm Dis,2018-07-24,2018.0,7.0
30041605,PMC6057010,open, BMC Public Health,2018-07-24,2018.0,7.0
30041516,,closed, J Agric Food Chem,2018-08-15,2018.0,8.0
30041058,,closed, Child Abuse Negl,2018-07-21,2018.0,7.0
30039785,,closed, Am J Trop Med Hyg,2018-07-23,2018.0,7.0
30039512,,closed, J Clin Nurs,2018-07-24,2018.0,7.0
30038869,PMC6054865,open, PeerJ,2018-07-19,2018.0,7.0
30038793,PMC6052626,open, Pilot Feasibility Stud,2018-07-18,2018.0,7.0
30038771,PMC6053572,open, Ecol Evol,2018-06-17,2018.0,6.0
30038503,PMC6052494,open, Microbiol Insights,2018-07-18,2018.0,7.0
30038420,PMC6056465,open, Sci Rep,2018-07-23,2018.0,7.0
30037876,PMC6059345,open, BMJ Open,2018-07-23,2018.0,7.0
30037312,,closed, AIDS Care,2018-07-23,2018.0,7.0
30037280,,closed, Food Nutr Bull,2018-01-01,2018.0,1.0
30037217,,closed, J Agric Food Chem,2018-08-22,2018.0,8.0
30036382,PMC6072204,open, PLoS Negl Trop Dis,2018-07-23,2018.0,7.0
30036072,,closed, AIDS Patient Care STDS,2018-07-23,2018.0,7.0
30033563,,closed, J Int AIDS Soc,2018-07-01,2018.0,7.0
30033535,,closed, J Int AIDS Soc,2018-07-01,2018.0,7.0
30033518,,closed, J Anim Ecol,2018-07-23,2018.0,7.0
30033078,PMC6069675,open, Lancet Haematol,2018-08-01,2018.0,8.0
30032975,,closed, Lancet,2018-07-28,2018.0,7.0
30031730,,closed, Lancet Glob Health,2018-07-18,2018.0,7.0
30031013,PMC6095940,open, Prev Med,2018-09-01,2018.0,9.0
30029620,PMC6057552,open, BMC Pediatr,2018-07-20,2018.0,7.0
30029120,,closed, Sci Total Environ,2018-07-16,2018.0,7.0
30028852,PMC6054376,open, PLoS One,2018-07-20,2018.0,7.0
30028209,,closed, Ecol Food Nutr,,,
30027825,,closed, Reprod Health Matters,2018-12-01,2018.0,12.0
30027750,,closed, Int J Environ Health Res,2018-07-20,2018.0,7.0
30027668,,closed, J Int AIDS Soc,2018-07-01,2018.0,7.0
30027132,PMC6031224,open, VideoGIE,2017-10-12,2017.0,10.0
30026746,,closed, Front Plant Sci,2018-07-05,2018.0,7.0
30026177,PMC6072973,open, JMIR Mhealth Uhealth,2018-07-19,2018.0,7.0
30025968,,closed, Diagn Microbiol Infect Dis,2018-06-22,2018.0,6.0
30025807,,closed, Lancet,2018-07-14,2018.0,7.0
30024908,PMC6053148,open, PLoS One,2018-07-19,2018.0,7.0
30024805,,closed, Am J Public Health,2018-09-01,2018.0,9.0
30024433,,closed, JBI Database System Rev Implement Rep,2018-07-17,2018.0,7.0
30021855,PMC6077718,open, Proc Natl Acad Sci U S A,2018-07-31,2018.0,7.0
30021564,PMC6052645,open, BMC Cancer,2018-07-18,2018.0,7.0
30020964,PMC6051581,open, PLoS One,2018-07-18,2018.0,7.0
30020940,PMC6051576,open, PLoS One,2018-07-18,2018.0,7.0
30020479,,closed, J Med Entomol,2018-07-18,2018.0,7.0
30019625,,closed, Thyroid,2018-08-22,2018.0,8.0
30018833,,closed, Case Rep Obstet Gynecol,2018-05-31,2018.0,5.0
30018088,,closed, Sex Transm Infect,2018-07-17,2018.0,7.0
30017946,,closed, Int J Infect Dis,2018-07-11,2018.0,7.0
30017827,,closed, Microb Pathog,2018-07-12,2018.0,7.0
30017069,,closed, J Pediatr Surg,2018-06-27,2018.0,6.0
30016955,PMC6050726,open, BMC Evol Biol,2018-07-17,2018.0,7.0
30016943,PMC6050709,open, BMC Med Inform Decis Mak,2018-07-17,2018.0,7.0
30016316,PMC6049880,open, PLoS Med,2018-07-17,2018.0,7.0
30015793,,closed, J Acquir Immune Defic Syndr,2018-07-10,2018.0,7.0
30014818,,closed, Am J Trop Med Hyg,2018-07-16,2018.0,7.0
30013798,,closed, J Parasitol Res,2018-06-14,2018.0,6.0
30013682,,closed, Beilstein J Org Chem,2018-06-26,2018.0,6.0
30012273,PMC6057135,open, Lancet Glob Health,2018-08-01,2018.0,8.0
30012270,,closed, Lancet Glob Health,2018-08-01,2018.0,8.0
30012172,PMC6048912,open, Malar J,2018-07-16,2018.0,7.0
30012128,PMC6048766,open, BMC Health Serv Res,2018-07-16,2018.0,7.0
30012110,PMC6048800,open, BMC Infect Dis,2018-07-16,2018.0,7.0
30012092,PMC6048895,open, BMC Infect Dis,2018-07-16,2018.0,7.0
30010860,PMC6097453,open, Health Policy Plan,2018-09-01,2018.0,9.0
30009273,e00656,open, Heliyon,2018-06-20,2018.0,6.0
30009182,,closed, J Diabetes Res,2018-05-23,2018.0,5.0
30006791,,closed, AIDS Behav,2018-07-13,2018.0,7.0
30006414,PMC6120623,open, Genome Res,2018-07-13,2018.0,7.0
30006028,,closed, Acta Trop,2018-10-01,2018.0,10.0
30005662,PMC6044045,open, BMC Med Educ,2018-07-13,2018.0,7.0
30005643,PMC6044026,open, BMC Public Health,2018-07-13,2018.0,7.0
30005025,,closed, AIDS,2018-07-12,2018.0,7.0
30005020,,closed, AIDS,2018-07-12,2018.0,7.0
30004392,,closed, Pediatr Infect Dis J,2018-08-01,2018.0,8.0
30003850,,closed, Afr J AIDS Res,2018-07-01,2018.0,7.0
30002921,PMC6038841,open, BMJ Glob Health,2018-07-06,2018.0,7.0
30002919,PMC6038838,open, BMJ Glob Health,2018-07-06,2018.0,7.0
30002808,,closed, Malar Res Treat,2018-05-29,2018.0,5.0
30002721,PMC6038280,open, Ann Gen Psychiatry,2018-07-10,2018.0,7.0
30002013,PMC6082480,open, BMJ Open,2018-07-12,2018.0,7.0
30001340,PMC6057667,open, PLoS Negl Trop Dis,2018-07-12,2018.0,7.0
30001244,PMC6086376,open, AIDS,2018-07-01,2018.0,7.0
30001243,,closed, AIDS,2018-07-31,2018.0,7.0
30001195,PMC6044072,open, BMC Pregnancy Childbirth,2018-07-12,2018.0,7.0
29998191,PMC6030754,open, Glob Health Res Policy,2018-07-04,2018.0,7.0
29998027,,closed, Case Rep Obstet Gynecol,2018-05-28,2018.0,5.0
29997412,PMC6015607,open, Symbiosis,2018-01-01,2018.0,1.0
29996854,PMC6042417,open, Reprod Health,2018-07-11,2018.0,7.0
29996852,PMC6042229,open, Hum Resour Health,2018-07-11,2018.0,7.0
29996838,PMC6042204,open, Int J Equity Health,2018-07-11,2018.0,7.0
29996783,PMC6042413,open, BMC Infect Dis,2018-07-11,2018.0,7.0
29996580,,closed, Int J Health Policy Manag,2017-11-25,2017.0,11.0
29995942,PMC6040779,open, PLoS One,2018-07-11,2018.0,7.0
29995715,,closed, JBI Database System Rev Implement Rep,2018-07-01,2018.0,7.0
29995713,,closed, JBI Database System Rev Implement Rep,2018-07-01,2018.0,7.0
29994915,PMC6075888,open, J Acquir Immune Defic Syndr,2018-08-15,2018.0,8.0
29994832,,closed, J Acquir Immune Defic Syndr,2018-08-15,2018.0,8.0
29992326,,closed, J Econ Entomol,2018-07-10,2018.0,7.0
29991925,PMC5987586,open, Trop Med Health,2018-06-04,2018.0,6.0
29991924,PMC5987573,open, Trop Med Health,2018-06-04,2018.0,6.0
29989160,,closed, Am J Phys Anthropol,2018-07-01,2018.0,7.0
29989082,PMC6035514,open, BMJ Glob Health,2018-06-22,2018.0,6.0
29989036,PMC6035501,open, BMJ Glob Health,2018-06-27,2018.0,6.0
29988829,PMC6031956,open, Int J Parasitol Parasites Wildl,2017-08-04,2017.0,8.0
29988760,,closed, Zookeys,2018-06-26,2018.0,6.0
29988689,PMC6029585,open, HIV AIDS (Auckl),2018-06-29,2018.0,6.0
29988499,,closed, Front Microbiol,2018-06-25,2018.0,6.0
29988002,,closed, Am J Trop Med Hyg,2018-07-09,2018.0,7.0
29986753,PMC6036667,open, Infect Dis Poverty,2018-07-06,2018.0,7.0
29985263,,closed, J Acquir Immune Defic Syndr,2018-07-04,2018.0,7.0
29984422,,closed, Int J Health Plann Manage,2018-07-08,2018.0,7.0
29984002,,closed, J Pathog,2018-06-10,2018.0,6.0
29983944,PMC6021694,open, Food Sci Nutr,2018-03-13,2018.0,3.0
29982707,,closed, J Infect Dis,2018-07-06,2018.0,7.0
29981149,,closed, Int J Cancer,2018-07-07,2018.0,7.0
29980230,PMC6035473,open, Health Res Policy Syst,2018-07-06,2018.0,7.0
29979930,NIHMS983818,open, J Health Commun,2018-01-01,2018.0,1.0
29979888,,closed, Ecol Food Nutr,,,
29979708,PMC6034791,open, PLoS One,2018-07-06,2018.0,7.0
29979704,PMC6034789,open, PLoS One,2018-07-06,2018.0,7.0
29979094,,closed, Int Q Community Health Educ,2018-01-01,2018.0,1.0
29977971,PMC6007399,open, Open Forum Infect Dis,2018-05-29,2018.0,5.0
29977906,,closed, Int J Food Sci,2018-06-07,2018.0,6.0
29976221,PMC6034346,open, Malar J,2018-07-05,2018.0,7.0
29976216,PMC6034281,open, Reprod Health,2018-07-05,2018.0,7.0
29976204,PMC6034219,open, Malar J,2018-07-06,2018.0,7.0
29975780,PMC6033402,open, PLoS One,2018-07-05,2018.0,7.0
29974672,,closed, Immun Inflamm Dis,2018-09-01,2018.0,9.0
29974329,,closed, Syst Parasitol,2018-09-01,2018.0,9.0
29974027,,closed, Cureus,2018-05-02,2018.0,5.0
29973544,PMC6069484,open, Int J Environ Res Public Health,2018-07-04,2018.0,7.0
29972632,,closed, J Int AIDS Soc,2018-07-01,2018.0,7.0
29972099,,closed, Glob Health Action,2018-01-01,2018.0,1.0
29971955,,closed, Matern Child Nutr,2018-07-04,2018.0,7.0
29971475,,closed, Appl Microbiol Biotechnol,2018-09-01,2018.0,9.0
29971245,PMC6004535,open, Lancet Child Adolesc Health,2018-07-01,2018.0,7.0
29971134,,closed, Comput Math Methods Med,2018-06-04,2018.0,6.0
29970950,PMC5946694,open, Agric Ecosyst Environ,2018-07-01,2018.0,7.0
29970949,PMC5946711,open, Agric Ecosyst Environ,2018-07-01,2018.0,7.0
29970946,PMC5946712,open, Agric Ecosyst Environ,2018-07-01,2018.0,7.0
29970945,PMC5946706,open, Agric Ecosyst Environ,2018-07-01,2018.0,7.0
29970944,PMC5946693,open, Agric Ecosyst Environ,2018-07-01,2018.0,7.0
29970943,PMC5946702,open, Agric Ecosyst Environ,2018-07-01,2018.0,7.0
29970874,PMC6070987,open, Toxins (Basel),2018-07-03,2018.0,7.0
29970164,PMC6029126,open, Parasit Vectors,2018-07-03,2018.0,7.0
29970063,PMC6029075,open, BMC Womens Health,2018-07-03,2018.0,7.0
29968733,PMC6030190,open, Sci Rep,2018-07-03,2018.0,7.0
29968634,,closed, Stud Health Technol Inform,2018-01-01,2018.0,1.0
29968334,,closed, Matern Child Nutr,2018-07-03,2018.0,7.0
29968096,,closed, Pediatr Surg Int,2018-08-01,2018.0,8.0
29967622,,closed, Front Immunol,2018-06-18,2018.0,6.0
29967193,,closed, Tob Control,2018-07-02,2018.0,7.0
29966818,,closed, Soc Sci Med,2018-08-01,2018.0,8.0
29966508,,closed, Glob Health Action,2018-01-01,2018.0,1.0
29965975,PMC6028100,open, PLoS One,2018-07-02,2018.0,7.0
29965948,,closed, Sex Transm Dis,2018-06-29,2018.0,6.0
29963559,PMC5994467,open, Mhealth,2018-05-21,2018.0,5.0
29961504,,closed, Semin Pediatr Neurol,2018-07-01,2018.0,7.0
29961102,,closed, Theor Appl Genet,2018-06-30,2018.0,6.0
29960098,,closed, Int J Infect Dis,2018-06-28,2018.0,6.0
29959539,,closed, J Med Syst,2018-06-29,2018.0,6.0
29959405,PMC6026135,open, Sci Rep,2018-06-29,2018.0,6.0
29959335,PMC6026200,open, Sci Rep,2018-06-29,2018.0,6.0
29959274,PMC6024632,open, Glob Health Sci Pract,2018-06-29,2018.0,6.0
29958738,,closed, Vaccine,2018-07-25,2018.0,7.0
29958072,,closed, Annu Rev Phytopathol,2018-08-25,2018.0,8.0
29956317,,closed, J Fish Biol,2018-06-28,2018.0,6.0
29955983,,closed, Oecologia,2018-08-01,2018.0,8.0
29955865,,closed, Chem Senses,2018-08-24,2018.0,8.0
29955820,,closed, Int Health,2018-06-28,2018.0,6.0
29955266,PMC6014147,open, Jamba,2018-04-12,2018.0,4.0
29953912,,closed, Biosystems,2018-09-01,2018.0,9.0
29953496,PMC6023163,open, PLoS One,2018-06-28,2018.0,6.0
29952871,,closed, J Strength Cond Res,2018-06-25,2018.0,6.0
29952795,,closed, AIDS,2018-07-01,2018.0,7.0
29952794,,closed, AIDS,2018-07-01,2018.0,7.0
29952793,,closed, AIDS,2018-07-01,2018.0,7.0
29952792,,closed, AIDS,2018-07-01,2018.0,7.0
29952791,,closed, AIDS,2018-07-01,2018.0,7.0
29952790,,closed, AIDS,2018-07-01,2018.0,7.0
29952788,,closed, AIDS,2018-07-01,2018.0,7.0
29952787,,closed, AIDS,2018-07-01,2018.0,7.0
29952248,,closed, J Transcult Nurs,2018-06-01,2018.0,6.0
29951213,PMC6009998,open, Obes Sci Pract,2018-05-04,2018.0,5.0
29951103,,closed, J Environ Public Health,2018-05-22,2018.0,5.0
29949593,PMC6021061,open, PLoS One,2018-06-27,2018.0,6.0
29949473,,closed, N Engl J Med,2018-08-23,2018.0,8.0
29948337,,closed, AIDS Behav,2018-09-01,2018.0,9.0
29948125,,closed, Planta,2018-09-01,2018.0,9.0
29946569,,closed, Wellcome Open Res,2017-06-20,2017.0,6.0
29946526,,closed, Public Health Action,2018-06-21,2018.0,6.0
29946487,PMC6014185,open, BMJ Glob Health,2018-06-22,2018.0,6.0
29946441,,closed, F1000Res,2018-03-20,2018.0,3.0
